#,Player,GP,GS,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0
#,Player,GP,GS,MIN,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG
21.0,"Simms, Patrick 21 Simms, Patrick",11,6.0,165,79,171,0.462,28,70,0.4,56,77,0.727,242,22.0
4.0,"Qualley, Jackson 04 Qualley, Jackson",25,9.0,410,176,473,0.372,64,237,0.27,94,134,0.701,510,20.4
2.0,"Kogelnik, Hannes 02 Kogelnik, Hannes",25,18.0,509,156,374,0.417,117,299,0.391,52,59,0.881,481,19.2
13.0,"Gilbert, Aiden 13 Gilbert, Aiden",23,6.0,322,114,262,0.435,30,98,0.306,97,134,0.724,355,15.4
10.0,"Stice, Zachary 10 Stice, Zachary",21,8.0,336,68,184,0.37,58,164,0.354,12,18,0.667,206,9.8
11.0,"Benhart, Jake 11 Benhart, Jake",13,5.0,154,30,80,0.375,19,51,0.373,23,26,0.885,102,7.8
44.0,"Geiman, Brad 44 Geiman, Brad",25,14.0,403,43,88,0.489,15,49,0.306,16,26,0.615,117,4.7
45.0,"Bebee, Will 45 Bebee, Will",24,13.0,330,41,74,0.554,3,18,0.167,28,48,0.583,113,4.7
22.0,"Grumhaus, Tyler 22 Grumhaus, Tyler",25,11.0,394,34,91,0.374,19,60,0.317,17,23,0.739,104,4.2
12.0,"Brookens, Christian 12 Brookens, Christian",25,5.0,267,41,92,0.446,12,41,0.293,24,30,0.8,118,4.7
35.0,"Phillips, Adam 35 Phillips, Adam",21,1.0,171,32,97,0.33,31,91,0.341,0,0,0.0,95,4.5
5.0,"Vest, Brady 05 Vest, Brady",24,4.0,304,29,65,0.446,19,49,0.388,6,10,0.6,83,3.5
24.0,"Gulve, Anthony 24 Gulve, Anthony",24,6.0,223,16,37,0.432,16,37,0.432,2,2,1.0,50,2.1
3.0,"Breshears, Jackson 03 Breshears, Jackson",25,10.0,306,12,28,0.429,4,18,0.222,6,11,0.545,34,1.4
23.0,"Dubow, Will 23 Dubow, Will",25,1.0,223,16,30,0.533,1,2,0.5,7,10,0.7,40,1.6
42.0,"McLean, Tate 42 McLean, Tate",10,0.0,43,3,9,0.333,0,4,0.0,4,5,0.8,10,1.0
15.0,"Bumanglag, Noah 15 Bumanglag, Noah",12,4.0,67,3,20,0.15,0,4,0.0,0,4,0.0,6,0.5
33.0,"Walser, Morgan 33 Walser, Morgan",24,3.0,230,7,23,0.304,4,17,0.235,2,2,1.0,20,0.8
54.0,"Smith, Tommy 54 Smith, Tommy",16,1.0,82,7,9,0.778,0,0,0.0,0,2,0.0,14,0.9
54.0,"Breshears, Kort 54 Breshears, Kort",5,0.0,14,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0
25.0,"Jones, Derek 25 Jones, Derek",5,0.0,11,1,7,0.143,1,7,0.143,0,0,0.0,3,0.6
25.0,"Keller, Dawson 25 Keller, Dawson",14,0.0,51,3,9,0.333,2,7,0.286,2,3,0.667,10,0.7
15.0,"Mazlish, Dean 15 Mazlish, Dean",8,0.0,26,1,5,0.2,0,3,0.0,2,4,0.5,4,0.5
42.0,"Mickus, Alex 42 Mickus, Alex",4,0.0,9,0,1,0.0,0,1,0.0,0,0,0.0,0,0.0
,Total,25,,5050,912,2229,0.409,443,1327,0.334,450,628,0.717,2717,108.68
,Opponents,25,,5049,956,1730,0.553,94,268,0.351,527,755,0.698,2533,101.32
