Name,GP,REB,AVG/G,OFF,OFF/G,DEF,DEF/G
"#45 Bebee, Will",24,138,5.8,68,2.8,70,2.9
"#44 Geiman, Brad",25,131,5.2,54,2.2,77,3.1
#TM Team,25,102,4.1,62,2.5,40,1.6
"#04 Qualley, Jackson",25,91,3.6,33,1.3,58,2.3
"#23 Dubow, Will",25,73,2.9,36,1.4,37,1.5
"#22 Grumhaus, Tyler",25,73,2.9,45,1.8,28,1.1
"#02 Kogelnik, Hannes",25,73,2.9,38,1.5,35,1.4
"#03 Breshears, Jackson",25,68,2.7,40,1.6,28,1.1
"#21 Simms, Patrick",11,45,4.1,29,2.6,16,1.5
"#05 Vest, Brady",24,45,1.9,26,1.1,19,0.8
"#12 Brookens, Christian",25,39,1.6,10,0.4,29,1.2
"#13 Gilbert, Aiden",23,38,1.7,13,0.6,25,1.1
"#54 Smith, Tommy",16,35,2.2,8,0.5,27,1.7
"#33 Walser, Morgan",24,29,1.2,15,0.6,14,0.6
"#10 Stice, Zachary",21,24,1.1,10,0.5,14,0.7
"#24 Gulve, Anthony",24,20,0.8,13,0.5,7,0.3
"#35 Phillips, Adam",21,19,0.9,12,0.6,7,0.3
"#11 Benhart, Jake",13,11,0.8,9,0.7,2,0.2
"#15 Bumanglag, Noah",12,9,0.8,1,0.1,8,0.7
"#42 McLean, Tate",10,8,0.8,5,0.5,3,0.3
"#25 Keller, Dawson",14,7,0.5,4,0.3,3,0.2
"#15 Mazlish, Dean",8,7,0.9,3,0.4,4,0.5
"#54 Breshears, Kort",5,3,0.6,1,0.2,2,0.4
"#42 Mickus, Alex",4,1,0.3,1,0.3,0,0.0
