Opponent,Date,Score,MAR,FG,FG PCT,3FG,3FG PCT,FT,FT PCT,RB,AST,TO,BLK,STL,PF
Coe,11/09/19,101-117,-16,35-87/46-72,.402/.639,12-39/0-3,.308/.000,19-27/25-33,.704-.758,36/36 0,14/30,28/21,4/5,13/10,29/22
Wartburg,11/12/19,74-92,-18,23-75/36-50,.307/.720,9-45/1-2,.200/.500,19-28/19-29,.679-.655,38/35 3,12/33,23/28,4/3,14/10,26/23
Eureka,11/20/19,115-122,-7,37-100/48-95,.370/.505,20-68/3-7,.294/.429,21-34/23-32,.618-.719,64/61 3,17/22,20/21,9/5,13/10,24/25
Great Lakes Christian College,11/23/19,116-90,26,42-97/38-84,.433/.452,18-58/0-5,.310/.000,14-23/14-17,.609-.824,56/54 2,21/25,19/27,7/4,18/10,15/19
Providence-Manitoba,11/24/19,172-95,77,66-118/40-65,.559/.615,23-56/3-11,.411/.273,17-19/12-18,.895-.667,45/39 6,29/21,11/47,3/2,27/1,22/19
Westminster (MO),11/26/19,139-94,45,46-100/36-73,.460/.493,25-62/3-14,.403/.214,22-32/19-32,.688-.594,53/49 4,22/26,18/35,10/2,22/9,23/26
Cornell College,12/04/19,110-84,26,35-80/30-60,.438/.500,22-47/3-8,.468/.375,18-25/21-28,.720-.750,36/47 -11,20/23,6/24,11/5,16/4,21/19
Knox College,12/07/19,115-93,22,38-84/37-79,.452/.468,17-41/1-3,.415/.333,22-28/18-31,.786-.581,43/58 -15,19/20,19/30,11/3,16/10,24/26
Central,12/11/19,134-102,32,38-99/41-78,.384/.526,26-68/2-7,.382/.286,32-40/18-31,.800-.581,53/58 -5,20/27,18/32,12/1,20/5,27/23
Lake Forest,01/03/20,89-114,-25,29-90/40-62,.322/.645,13-52/7-16,.250/.438,18-26/27-31,.692-.871,34/56 -22,14/33,15/33,8/3,13/9,22/26
Lawrence,01/04/20,120-115,5,40-99/37-74,.404/.500,21-62/6-17,.339/.353,19-24/35-46,.792-.761,50/54 -4,22/18,15/24,7/4,13/7,29/20
Monmouth (IL),01/08/20,89-99,-10,31-86/38-64,.360/.594,12-41/5-9,.293/.556,15-22/18-27,.682-.667,42/49 -7,15/20,11/20,8/3,14/5,22/18
Ripon,01/11/20,101-104,-3,29-79/38-53,.367/.717,19-49/3-8,.388/.375,24-32/25-34,.750-.735,36/39 -3,17/19,19/27,3/8,16/14,26/19
Illinois College,01/15/20,135-107,28,41-82/40-68,.500/.588,24-55/1-6,.436/.167,29-33/26-39,.879-.667,37/39 -2,21/25,18/26,3/3,16/7,30/25
Lawrence,01/18/20,106-118,-12,39-90/43-62,.433/.694,16-52/3-11,.308/.273,12-20/29-39,.600-.744,33/46 -13,24/38,15/24,3/5,13/10,31/23
Cornell College,01/21/20,99-96,3,33-101/36-66,.327/.545,19-69/5-12,.275/.417,14-20/19-33,.700-.576,51/60 -9,22/22,14/31,4/7,18/7,27/21
Knox,01/25/20,121-94,27,42-88/36-71,.477/.507,15-47/3-6,.319/.500,22-31/19-31,.710-.613,45/50 -5,20/23,13/27,12/4,15/8,22/22
St. Norbert College,01/31/20,79-109,-30,27-75/44-77,.360/.571,12-47/2-8,.255/.250,13-22/19-28,.591-.679,40/54 -14,8/30,21/18,5/3,9/12,26/21
Ripon College,02/01/20,71-104,-33,25-89/40-72,.281/.556,16-67/5-20,.239/.250,5-8/19-30,.625-.633,45/57 -12,16/29,12/13,2/5,7/10,24/13
Beloit,02/05/20,101-81,20,34-73/26-68,.466/.382,13-35/4-14,.371/.286,20-30/25-29,.667-.862,41/49 -8,13/15,17/27,11/3,12/10,20/24
Monmouth (IL),02/08/20,90-94,-4,33-86/33-49,.384/.673,13-43/3-7,.302/.429,11-15/25-32,.733-.781,36/38 -2,16/17,10/20,2/4,12/6,28/15
Illinois College,02/12/20,124-95,29,46-98/39-73,.469/.534,27-67/6-16,.403/.375,5-9/11-17,.556-.647,46/46 0,24/19,11/21,11/2,11/7,17/15
St. Norbert College,02/15/20,113-116,-3,39-86/43-82,.453/.524,19-50/3-10,.380/.300,16-22/27-37,.727-.730,36/58 -22,20/26,13/19,7/0,9/6,27/22
Beloit,02/18/20,107-94,13,34-87/34-70,.391/.486,18-55/12-22,.327/.545,21-27/14-22,.778-.636,47/49 -2,9/22,8/19,4/3,10/5,17/24
Lake Forest,02/22/20,96-104,-8,30-80/37-63,.375/.587,14-52/10-26,.269/.385,22-31/20-29,.710-.690,46/40 6,14/27,14/16,4/1,11/7,23/23
