Statistic,High,Player,Opponent
POINTS,42,Aiden Gilbert,Illinois College (01/15/20)
FIELD GOALS MADE,15,Hannes Kogelnik,Providence-Manitoba (11/24/19)
FIELD GOAL ATTEMPTS,27,"Qualley,Jackson",Monmouth (IL) (02/08/20)
3 PT FIELD GOALS MADE,10,Hannes Kogelnik,Cornell College (01/21/20)
3 PT FG ATTEMPTS,19,Hannes Kogelnik,Cornell College (01/21/20)
FREE THROWS MADE,17,Aiden Gilbert,Illinois College (01/15/20)
FREE THROW ATTEMPTS,20,Aiden Gilbert,Illinois College (01/15/20)
REBOUNDS,13,Brad Geiman,Great Lakes Christian College (11/23/19)
ASSISTS,8,Aiden Gilbert,Illinois College (02/12/20)
STEALS,5,Tyler Grumhaus,Knox (01/25/20)
BLOCKED SHOTS,7,Will Bebee; Brad Geiman,Cornell College (12/04/19); Knox College (12/07/19)
TURNOVERS,8,Aiden Gilbert,St. Norbert College (01/31/20)
FOULS,5,"Will Bebee; Hannes Kogelnik; Will Dubow; Bebee,Will; Patrick Simms",Providence-Manitoba (11/24/19); Lake Forest (01/03/20); Lawrence (01/04/20); Monmouth (IL) (01/08/20); Beloit (02/05/20); St. Norbert College (02/15/20); Eureka (11/20/19); Illinois College (01/15/20); Cornell College (01/21/20)
