Statistic,High,Opponent
POINTS,172,Providence-Manitoba (11/24/19)
FIELD GOALS MADE,66,Providence-Manitoba (11/24/19)
FIELD GOAL ATTEMPTS,118,Providence-Manitoba (11/24/19)
3 PT FIELD GOALS MADE,27,Illinois College (02/12/20)
3 PT FG ATTEMPTS,69,Cornell College (01/21/20)
FREE THROWS MADE,32,Central (12/11/19)
FREE THROW ATTEMPTS,40,Central (12/11/19)
REBOUNDS,64,Eureka (11/20/19)
ASSISTS,29,Providence-Manitoba (11/24/19)
STEALS,27,Providence-Manitoba (11/24/19)
BLOCKED SHOTS,12,Central (12/11/19); Knox (01/25/20)
TURNOVERS,28,Coe (11/09/19)
FOULS,31,Lawrence (01/18/20)
