Name,GP,BLK,BLK/G
"#45 Bebee, Will",24,61,2.5
"#44 Geiman, Brad",25,54,2.2
"#04 Qualley, Jackson",25,10,0.4
"#23 Dubow, Will",25,8,0.3
"#54 Smith, Tommy",16,7,0.4
"#25 Keller, Dawson",14,6,0.4
"#03 Breshears, Jackson",25,4,0.2
"#21 Simms, Patrick",11,4,0.4
"#02 Kogelnik, Hannes",25,3,0.1
"#12 Brookens, Christian",25,2,0.1
"#22 Grumhaus, Tyler",25,2,0.1
"#10 Stice, Zachary",21,2,0.1
"#35 Phillips, Adam",21,1,0.0
"#05 Vest, Brady",24,1,0.0
