Name,GP,MIN,MIN/G
"#02 Kogelnik, Hannes",25,509,20.4
"#04 Qualley, Jackson",25,410,16.4
"#44 Geiman, Brad",25,403,16.1
"#22 Grumhaus, Tyler",25,394,15.8
"#10 Stice, Zachary",21,336,16.0
"#45 Bebee, Will",24,330,13.8
"#13 Gilbert, Aiden",23,322,14.0
"#03 Breshears, Jackson",25,306,12.2
"#05 Vest, Brady",24,304,12.7
"#12 Brookens, Christian",25,267,10.7
"#33 Walser, Morgan",24,230,9.6
"#23 Dubow, Will",25,223,8.9
"#24 Gulve, Anthony",24,223,9.3
"#35 Phillips, Adam",21,171,8.1
"#21 Simms, Patrick",11,165,15.0
"#11 Benhart, Jake",13,154,11.8
"#54 Smith, Tommy",16,82,5.1
"#15 Bumanglag, Noah",12,67,5.6
"#25 Keller, Dawson",14,51,3.6
"#42 McLean, Tate",10,43,4.3
"#15 Mazlish, Dean",8,26,3.3
"#54 Breshears, Kort",5,14,2.8
"#25 Jones, Derek",5,11,2.2
"#42 Mickus, Alex",4,9,2.3
