Name,GP,3PM,3PA,3P%,3PM/G,3PA/G
"#02 Kogelnik, Hannes",25,117,299,0.391,4.7,12.0
"#04 Qualley, Jackson",25,64,237,0.27,2.6,9.5
"#10 Stice, Zachary",21,58,164,0.354,2.8,7.8
"#35 Phillips, Adam",21,31,91,0.341,1.5,4.3
"#13 Gilbert, Aiden",23,30,98,0.306,1.3,4.3
"#21 Simms, Patrick",11,28,70,0.4,2.5,6.4
"#11 Benhart, Jake",13,19,51,0.373,1.5,3.9
"#22 Grumhaus, Tyler",25,19,60,0.317,0.8,2.4
"#05 Vest, Brady",24,19,49,0.388,0.8,2.0
"#24 Gulve, Anthony",24,16,37,0.432,0.7,1.5
"#44 Geiman, Brad",25,15,49,0.306,0.6,2.0
"#12 Brookens, Christian",25,12,41,0.293,0.5,1.6
"#03 Breshears, Jackson",25,4,18,0.222,0.2,0.7
"#33 Walser, Morgan",24,4,17,0.235,0.2,0.7
"#45 Bebee, Will",24,3,18,0.167,0.1,0.8
"#25 Keller, Dawson",14,2,7,0.286,0.1,0.5
"#23 Dubow, Will",25,1,2,0.5,0.0,0.1
"#25 Jones, Derek",5,1,7,0.143,0.2,1.4
"#15 Bumanglag, Noah",12,0,4,0.0,0.0,0.3
"#15 Mazlish, Dean",8,0,3,0.0,0.0,0.4
"#42 McLean, Tate",10,0,4,0.0,0.0,0.4
"#42 Mickus, Alex",4,0,1,0.0,0.0,0.3
