Name,GP,AST,TO,AST/TO Ratio
"#33 Walser, Morgan",24,15,1,15.0
"#24 Gulve, Anthony",24,15,5,3.0
"#03 Breshears, Jackson",25,17,7,2.43
"#11 Benhart, Jake",13,9,6,1.5
"#54 Breshears, Kort",5,1,1,1.0
"#12 Brookens, Christian",25,36,19,1.89
"#15 Bumanglag, Noah",12,14,11,1.27
"#23 Dubow, Will",25,18,16,1.13
"#44 Geiman, Brad",25,14,10,1.4
"#22 Grumhaus, Tyler",25,38,29,1.31
"#15 Mazlish, Dean",8,4,3,1.33
"#42 McLean, Tate",10,3,3,1.0
"#21 Simms, Patrick",11,44,33,1.33
"#54 Smith, Tommy",16,2,2,1.0
"#10 Stice, Zachary",21,24,18,1.33
"#05 Vest, Brady",24,20,13,1.54
