Name,GP,STL,STL/G
"#04 Qualley, Jackson",25,37,1.5
"#02 Kogelnik, Hannes",25,34,1.4
"#22 Grumhaus, Tyler",25,32,1.3
"#03 Breshears, Jackson",25,28,1.1
"#13 Gilbert, Aiden",23,28,1.2
"#12 Brookens, Christian",25,23,0.9
"#21 Simms, Patrick",11,23,2.1
"#05 Vest, Brady",24,23,1.0
"#45 Bebee, Will",24,22,0.9
"#10 Stice, Zachary",21,20,1.0
"#33 Walser, Morgan",24,19,0.8
"#23 Dubow, Will",25,18,0.7
"#35 Phillips, Adam",21,15,0.7
"#24 Gulve, Anthony",24,11,0.5
"#44 Geiman, Brad",25,10,0.4
"#15 Bumanglag, Noah",12,7,0.6
"#11 Benhart, Jake",13,5,0.4
"#25 Keller, Dawson",14,1,0.1
"#15 Mazlish, Dean",8,1,0.1
"#54 Smith, Tommy",16,1,0.1
