Name,GP,FGM,FGA,FG%,FGM/G,FGA/G
"#04 Qualley, Jackson",25,176,473,0.372,7.0,18.9
"#02 Kogelnik, Hannes",25,156,374,0.417,6.2,15.0
"#13 Gilbert, Aiden",23,114,262,0.435,5.0,11.4
"#21 Simms, Patrick",11,79,171,0.462,7.2,15.5
"#10 Stice, Zachary",21,68,184,0.37,3.2,8.8
"#44 Geiman, Brad",25,43,88,0.489,1.7,3.5
"#45 Bebee, Will",24,41,74,0.554,1.7,3.1
"#12 Brookens, Christian",25,41,92,0.446,1.6,3.7
"#22 Grumhaus, Tyler",25,34,91,0.374,1.4,3.6
"#35 Phillips, Adam",21,32,97,0.33,1.5,4.6
"#11 Benhart, Jake",13,30,80,0.375,2.3,6.2
"#05 Vest, Brady",24,29,65,0.446,1.2,2.7
"#23 Dubow, Will",25,16,30,0.533,0.6,1.2
"#24 Gulve, Anthony",24,16,37,0.432,0.7,1.5
"#03 Breshears, Jackson",25,12,28,0.429,0.5,1.1
"#54 Smith, Tommy",16,7,9,0.778,0.4,0.6
"#33 Walser, Morgan",24,7,23,0.304,0.3,1.0
"#15 Bumanglag, Noah",12,3,20,0.15,0.3,1.7
"#25 Keller, Dawson",14,3,9,0.333,0.2,0.6
"#42 McLean, Tate",10,3,9,0.333,0.3,0.9
"#25 Jones, Derek",5,1,7,0.143,0.2,1.4
"#15 Mazlish, Dean",8,1,5,0.2,0.1,0.6
"#42 Mickus, Alex",4,0,1,0.0,0.0,0.3
