Name,GP,FTM,FTA,FT%,FTM/G,FTA/G
"#13 Gilbert, Aiden",23,97,134,0.724,4.2,5.8
"#04 Qualley, Jackson",25,94,134,0.701,3.8,5.4
"#21 Simms, Patrick",11,56,77,0.727,5.1,7.0
"#02 Kogelnik, Hannes",25,52,59,0.881,2.1,2.4
"#45 Bebee, Will",24,28,48,0.583,1.2,2.0
"#12 Brookens, Christian",25,24,30,0.8,1.0,1.2
"#11 Benhart, Jake",13,23,26,0.885,1.8,2.0
"#22 Grumhaus, Tyler",25,17,23,0.739,0.7,0.9
"#44 Geiman, Brad",25,16,26,0.615,0.6,1.0
"#10 Stice, Zachary",21,12,18,0.667,0.6,0.9
"#23 Dubow, Will",25,7,10,0.7,0.3,0.4
"#03 Breshears, Jackson",25,6,11,0.545,0.2,0.4
"#05 Vest, Brady",24,6,10,0.6,0.3,0.4
"#42 McLean, Tate",10,4,5,0.8,0.4,0.5
"#24 Gulve, Anthony",24,2,2,1.0,0.1,0.1
"#25 Keller, Dawson",14,2,3,0.667,0.1,0.2
"#15 Mazlish, Dean",8,2,4,0.5,0.3,0.5
"#33 Walser, Morgan",24,2,2,1.0,0.1,0.1
"#15 Bumanglag, Noah",12,0,4,0.0,0.0,0.3
"#54 Smith, Tommy",16,0,2,0.0,0.0,0.1
