#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,AST/G,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,AST/G,TO,STL,BLK,Bio Link
21,"Simms, Patrick 21 Simms, Patrick",4,4.0,59,14.8,24,66,0.364,10,25,0.4,25,34,0.735,83,20.8,14,4,18,4.5,12,15,3.8,10,8,3,View Bio
02,"Kogelnik, Hannes 02 Kogelnik, Hannes",18,12.0,383,21.3,115,272,0.423,91,225,0.404,38,43,0.884,359,19.9,31,29,60,3.3,34,25,1.4,21,22,2,View Bio
04,"Qualley, Jackson 04 Qualley, Jackson",18,7.0,304,16.9,123,342,0.36,43,163,0.264,63,87,0.724,352,19.6,19,32,51,2.8,22,53,2.9,55,20,4,View Bio
13,"Gilbert, Aiden 13 Gilbert, Aiden",17,4.0,260,15.3,107,239,0.448,29,89,0.326,89,121,0.736,332,19.5,9,25,34,2.0,29,50,2.9,55,19,0,View Bio
10,"Stice, Zachary 10 Stice, Zachary",14,5.0,230,16.4,38,110,0.345,34,100,0.34,11,15,0.733,121,8.6,5,13,18,1.3,12,15,1.1,12,12,2,View Bio
11,"Benhart, Jake 11 Benhart, Jake",6,3.0,67,11.2,11,36,0.306,9,25,0.36,10,10,1.0,41,6.8,4,0,4,0.7,2,6,1.0,2,2,0,View Bio
12,"Brookens, Christian 12 Brookens, Christian",18,3.0,199,11.1,33,77,0.429,10,36,0.278,17,23,0.739,93,5.2,7,18,25,1.4,27,27,1.5,15,19,1,View Bio
45,"Bebee, Will 45 Bebee, Will",18,9.0,251,13.9,29,53,0.547,2,12,0.167,16,29,0.552,76,4.2,49,48,97,5.4,70,9,0.5,12,19,42,View Bio
44,"Geiman, Brad 44 Geiman, Brad",18,11.0,300,16.7,25,55,0.455,9,33,0.273,8,15,0.533,67,3.7,33,58,91,5.1,40,10,0.6,6,4,42,View Bio
22,"Grumhaus, Tyler 22 Grumhaus, Tyler",18,6.0,288,16.0,21,59,0.356,16,47,0.34,13,17,0.765,71,3.9,31,20,51,2.8,45,26,1.4,17,25,0,View Bio
05,"Vest, Brady 05 Vest, Brady",18,4.0,250,13.9,24,57,0.421,15,42,0.357,5,8,0.625,68,3.8,21,14,35,1.9,33,16,0.9,9,17,0,View Bio
35,"Phillips, Adam 35 Phillips, Adam",16,0.0,111,6.9,21,63,0.333,20,61,0.328,0,0,0.0,62,3.9,4,4,8,0.5,7,4,0.3,5,11,0,View Bio
24,"Gulve, Anthony 24 Gulve, Anthony",17,6.0,174,10.2,12,26,0.462,12,26,0.462,2,2,1.0,38,2.2,10,6,16,0.9,10,10,0.6,5,7,0,View Bio
03,"Breshears, Jackson 03 Breshears, Jackson",18,9.0,229,12.7,12,25,0.48,4,15,0.267,1,4,0.25,29,1.6,31,27,58,3.2,16,12,0.7,5,18,4,View Bio
23,"Dubow, Will 23 Dubow, Will",18,1.0,156,8.7,13,22,0.591,1,2,0.5,2,4,0.5,29,1.6,21,19,40,2.2,28,12,0.7,9,10,7,View Bio
54,"Smith, Tommy 54 Smith, Tommy",13,1.0,78,6.0,7,9,0.778,0,0,0.0,0,2,0.0,14,1.1,6,24,30,2.3,13,1,0.1,1,1,7,View Bio
33,"Walser, Morgan 33 Walser, Morgan",18,3.0,180,10.0,6,20,0.3,3,14,0.214,0,0,0.0,15,0.8,9,10,19,1.1,19,13,0.7,1,14,0,View Bio
15,"Bumanglag, Noah 15 Bumanglag, Noah",6,2.0,32,5.3,1,5,0.2,0,0,0.0,0,2,0.0,2,0.3,0,4,4,0.7,2,6,1.0,4,2,0,View Bio
11,"Breshears, Kort 11 Breshears, Kort",2,0.0,3,1.5,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,1,0,0.0,0,0,0,View Bio
25,"Jones, Derek 25 Jones, Derek",5,0.0,11,2.2,1,7,0.143,1,7,0.143,0,0,0.0,3,0.6,0,0,0,0.0,1,0,0.0,0,0,0,View Bio
25,"Keller, Dawson 25 Keller, Dawson",8,0.0,24,3.0,1,3,0.333,1,3,0.333,0,0,0.0,3,0.4,2,0,2,0.3,3,0,0.0,0,0,2,View Bio
42,"Mazlish, Dean 42 Mazlish, Dean",7,0.0,19,2.7,0,2,0.0,0,2,0.0,2,4,0.5,2,0.3,1,3,4,0.6,3,2,0.3,2,1,0,View Bio
21,"McLean, Tate 21 McLean, Tate",8,0.0,35,4.4,1,4,0.25,0,3,0.0,4,5,0.8,6,0.8,5,2,7,0.9,6,2,0.3,2,0,0,View Bio
42,"Mickus, Alex 42 Mickus, Alex",3,0.0,7,2.3,0,1,0.0,0,1,0.0,0,0,0.0,0,0.0,1,0,1,0.3,1,0,0.0,0,0,0,View Bio
TM,Team  TM Team,18,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,48,23,71,3.9,0,0,0.0,3,0,0,
,Total,18,,3650,202.8,625,1553,0.402,310,931,0.333,306,425,0.72,1866,103.67,361,383,744,41.3,436,314,17.4,251,231,116,
,Opponents,18,,3649,202.7,671,1213,0.553,82,219,0.374,397,563,0.705,1821,101.17,257,632,889,49.4,376,426,23.7,419,144,66,
