#,Player,GP,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0
#,Player,GP,MIN,FG%,3PT%,FT%,OREB,DREB,REB,AST,STL,BLK,PTS
21.0,"Simms, Patrick 21 Simms, Patrick",11,15.0,0.462,0.4,0.727,2.6,1.5,4.1,4.0,2.1,0.4,22.0
4.0,"Qualley, Jackson 04 Qualley, Jackson",25,16.4,0.372,0.27,0.701,1.3,2.3,3.6,2.8,1.5,0.4,20.4
2.0,"Kogelnik, Hannes 02 Kogelnik, Hannes",25,20.4,0.417,0.391,0.881,1.5,1.4,2.9,1.3,1.4,0.1,19.2
13.0,"Gilbert, Aiden 13 Gilbert, Aiden",23,14.0,0.435,0.306,0.724,0.6,1.1,1.7,2.3,1.2,0.0,15.4
10.0,"Stice, Zachary 10 Stice, Zachary",21,16.0,0.37,0.354,0.667,0.5,0.7,1.1,1.1,1.0,0.1,9.8
11.0,"Benhart, Jake 11 Benhart, Jake",13,11.8,0.375,0.373,0.885,0.7,0.2,0.8,0.7,0.4,0.0,7.8
44.0,"Geiman, Brad 44 Geiman, Brad",25,16.1,0.489,0.306,0.615,2.2,3.1,5.2,0.6,0.4,2.2,4.7
45.0,"Bebee, Will 45 Bebee, Will",24,13.8,0.554,0.167,0.583,2.8,2.9,5.8,0.5,0.9,2.5,4.7
22.0,"Grumhaus, Tyler 22 Grumhaus, Tyler",25,15.8,0.374,0.317,0.739,1.8,1.1,2.9,1.5,1.3,0.1,4.2
12.0,"Brookens, Christian 12 Brookens, Christian",25,10.7,0.446,0.293,0.8,0.4,1.2,1.6,1.4,0.9,0.1,4.7
35.0,"Phillips, Adam 35 Phillips, Adam",21,8.1,0.33,0.341,0.0,0.6,0.3,0.9,0.2,0.7,0.0,4.5
5.0,"Vest, Brady 05 Vest, Brady",24,12.7,0.446,0.388,0.6,1.1,0.8,1.9,0.8,1.0,0.0,3.5
24.0,"Gulve, Anthony 24 Gulve, Anthony",24,9.3,0.432,0.432,1.0,0.5,0.3,0.8,0.6,0.5,0.0,2.1
3.0,"Breshears, Jackson 03 Breshears, Jackson",25,12.2,0.429,0.222,0.545,1.6,1.1,2.7,0.7,1.1,0.2,1.4
23.0,"Dubow, Will 23 Dubow, Will",25,8.9,0.533,0.5,0.7,1.4,1.5,2.9,0.7,0.7,0.3,1.6
42.0,"McLean, Tate 42 McLean, Tate",10,4.3,0.333,0.0,0.8,0.5,0.3,0.8,0.3,0.0,0.0,1.0
15.0,"Bumanglag, Noah 15 Bumanglag, Noah",12,5.6,0.15,0.0,0.0,0.1,0.7,0.8,1.2,0.6,0.0,0.5
33.0,"Walser, Morgan 33 Walser, Morgan",24,9.6,0.304,0.235,1.0,0.6,0.6,1.2,0.6,0.8,0.0,0.8
54.0,"Smith, Tommy 54 Smith, Tommy",16,5.1,0.778,0.0,0.0,0.5,1.7,2.2,0.1,0.1,0.4,0.9
54.0,"Breshears, Kort 54 Breshears, Kort",5,2.8,0.0,0.0,0.0,0.2,0.4,0.6,0.2,0.0,0.0,0.0
25.0,"Jones, Derek 25 Jones, Derek",5,2.2,0.143,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
25.0,"Keller, Dawson 25 Keller, Dawson",14,3.6,0.333,0.286,0.667,0.3,0.2,0.5,0.0,0.1,0.4,0.7
15.0,"Mazlish, Dean 15 Mazlish, Dean",8,3.3,0.2,0.0,0.5,0.4,0.5,0.9,0.5,0.1,0.0,0.5
42.0,"Mickus, Alex 42 Mickus, Alex",4,2.3,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0
,Total,25,202.0,0.409,0.334,0.717,21.4,22.1,43.6,18.0,14.3,6.6,108.68
,Opponents,25,202.0,0.553,0.351,0.698,14.2,34.6,48.8,24.4,8.0,3.5,101.32
