Name,GP,PF,PF/G
"#45 Bebee, Will",24,92,3.8
"#44 Geiman, Brad",25,57,2.3
"#22 Grumhaus, Tyler",25,53,2.1
"#02 Kogelnik, Hannes",25,44,1.8
"#23 Dubow, Will",25,40,1.6
"#12 Brookens, Christian",25,39,1.6
"#05 Vest, Brady",24,38,1.6
"#13 Gilbert, Aiden",23,35,1.5
"#21 Simms, Patrick",11,32,2.9
"#04 Qualley, Jackson",25,29,1.2
"#03 Breshears, Jackson",25,24,1.0
"#33 Walser, Morgan",24,23,1.0
"#10 Stice, Zachary",21,16,0.8
"#24 Gulve, Anthony",24,15,0.6
"#54 Smith, Tommy",16,15,0.9
"#11 Benhart, Jake",13,10,0.8
"#35 Phillips, Adam",21,10,0.5
"#15 Bumanglag, Noah",12,8,0.7
"#25 Keller, Dawson",14,8,0.6
"#42 McLean, Tate",10,6,0.6
"#54 Breshears, Kort",5,3,0.6
"#15 Mazlish, Dean",8,3,0.4
"#25 Jones, Derek",5,1,0.2
"#42 Mickus, Alex",4,1,0.3
