Name,GP,Pts,Pts/G
"#04 Qualley, Jackson",25,510,20.4
"#02 Kogelnik, Hannes",25,481,19.2
"#13 Gilbert, Aiden",23,355,15.4
"#21 Simms, Patrick",11,242,22.0
"#10 Stice, Zachary",21,206,9.8
"#12 Brookens, Christian",25,118,4.7
"#44 Geiman, Brad",25,117,4.7
"#45 Bebee, Will",24,113,4.7
"#22 Grumhaus, Tyler",25,104,4.2
"#11 Benhart, Jake",13,102,7.8
"#35 Phillips, Adam",21,95,4.5
"#05 Vest, Brady",24,83,3.5
"#24 Gulve, Anthony",24,50,2.1
"#23 Dubow, Will",25,40,1.6
"#03 Breshears, Jackson",25,34,1.4
"#33 Walser, Morgan",24,20,0.8
"#54 Smith, Tommy",16,14,0.9
"#25 Keller, Dawson",14,10,0.7
"#42 McLean, Tate",10,10,1.0
"#15 Bumanglag, Noah",12,6,0.5
"#15 Mazlish, Dean",8,4,0.5
"#25 Jones, Derek",5,3,0.6
