Name,GP,AST,AST/G
"#04 Qualley, Jackson",25,70,2.8
"#13 Gilbert, Aiden",23,54,2.3
"#21 Simms, Patrick",11,44,4.0
"#22 Grumhaus, Tyler",25,38,1.5
"#12 Brookens, Christian",25,36,1.4
"#02 Kogelnik, Hannes",25,33,1.3
"#10 Stice, Zachary",21,24,1.1
"#05 Vest, Brady",24,20,0.8
"#23 Dubow, Will",25,18,0.7
"#03 Breshears, Jackson",25,17,0.7
"#24 Gulve, Anthony",24,15,0.6
"#33 Walser, Morgan",24,15,0.6
"#15 Bumanglag, Noah",12,14,1.2
"#44 Geiman, Brad",25,14,0.6
"#45 Bebee, Will",24,13,0.5
"#11 Benhart, Jake",13,9,0.7
"#35 Phillips, Adam",21,5,0.2
"#15 Mazlish, Dean",8,4,0.5
"#42 McLean, Tate",10,3,0.3
"#54 Smith, Tommy",16,2,0.1
"#54 Breshears, Kort",5,1,0.2
