#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,TO,STL,BLK,Bio Link
21,"Simms, Patrick 21 Simms, Patrick",11,6.0,165,15.0,79,171,0.462,28,70,0.4,56,77,0.727,242,22.0,29,16,45,4.1,32,44,33,23,4,View Bio
04,"Qualley, Jackson 04 Qualley, Jackson",25,9.0,410,16.4,176,473,0.372,64,237,0.27,94,134,0.701,510,20.4,33,58,91,3.6,29,70,80,37,10,View Bio
02,"Kogelnik, Hannes 02 Kogelnik, Hannes",25,18.0,509,20.4,156,374,0.417,117,299,0.391,52,59,0.881,481,19.2,38,35,73,2.9,44,33,34,34,3,View Bio
13,"Gilbert, Aiden 13 Gilbert, Aiden",23,6.0,322,14.0,114,262,0.435,30,98,0.306,97,134,0.724,355,15.4,13,25,38,1.7,35,54,64,28,0,View Bio
10,"Stice, Zachary 10 Stice, Zachary",21,8.0,336,16.0,68,184,0.37,58,164,0.354,12,18,0.667,206,9.8,10,14,24,1.1,16,24,18,20,2,View Bio
11,"Benhart, Jake 11 Benhart, Jake",13,5.0,154,11.8,30,80,0.375,19,51,0.373,23,26,0.885,102,7.8,9,2,11,0.8,10,9,6,5,0,View Bio
44,"Geiman, Brad 44 Geiman, Brad",25,14.0,403,16.1,43,88,0.489,15,49,0.306,16,26,0.615,117,4.7,54,77,131,5.2,57,14,10,10,54,View Bio
45,"Bebee, Will 45 Bebee, Will",24,13.0,330,13.8,41,74,0.554,3,18,0.167,28,48,0.583,113,4.7,68,70,138,5.8,92,13,18,22,61,View Bio
12,"Brookens, Christian 12 Brookens, Christian",25,5.0,267,10.7,41,92,0.446,12,41,0.293,24,30,0.8,118,4.7,10,29,39,1.6,39,36,19,23,2,View Bio
35,"Phillips, Adam 35 Phillips, Adam",21,1.0,171,8.1,32,97,0.33,31,91,0.341,0,0,0.0,95,4.5,12,7,19,0.9,10,5,7,15,1,View Bio
22,"Grumhaus, Tyler 22 Grumhaus, Tyler",25,11.0,394,15.8,34,91,0.374,19,60,0.317,17,23,0.739,104,4.2,45,28,73,2.9,53,38,29,32,2,View Bio
05,"Vest, Brady 05 Vest, Brady",24,4.0,304,12.7,29,65,0.446,19,49,0.388,6,10,0.6,83,3.5,26,19,45,1.9,38,20,13,23,1,View Bio
24,"Gulve, Anthony 24 Gulve, Anthony",24,6.0,223,9.3,16,37,0.432,16,37,0.432,2,2,1.0,50,2.1,13,7,20,0.8,15,15,5,11,0,View Bio
23,"Dubow, Will 23 Dubow, Will",25,1.0,223,8.9,16,30,0.533,1,2,0.5,7,10,0.7,40,1.6,36,37,73,2.9,40,18,16,18,8,View Bio
03,"Breshears, Jackson 03 Breshears, Jackson",25,10.0,306,12.2,12,28,0.429,4,18,0.222,6,11,0.545,34,1.4,40,28,68,2.7,24,17,7,28,4,View Bio
42,"McLean, Tate 42 McLean, Tate",10,0.0,43,4.3,3,9,0.333,0,4,0.0,4,5,0.8,10,1.0,5,3,8,0.8,6,3,3,0,0,View Bio
54,"Smith, Tommy 54 Smith, Tommy",16,1.0,82,5.1,7,9,0.778,0,0,0.0,0,2,0.0,14,0.9,8,27,35,2.2,15,2,2,1,7,View Bio
33,"Walser, Morgan 33 Walser, Morgan",24,3.0,230,9.6,7,23,0.304,4,17,0.235,2,2,1.0,20,0.8,15,14,29,1.2,23,15,1,19,0,View Bio
25,"Keller, Dawson 25 Keller, Dawson",14,0.0,51,3.6,3,9,0.333,2,7,0.286,2,3,0.667,10,0.7,4,3,7,0.5,8,0,1,1,6,View Bio
25,"Jones, Derek 25 Jones, Derek",5,0.0,11,2.2,1,7,0.143,1,7,0.143,0,0,0.0,3,0.6,0,0,0,0.0,1,0,0,0,0,View Bio
15,"Bumanglag, Noah 15 Bumanglag, Noah",12,4.0,67,5.6,3,20,0.15,0,4,0.0,0,4,0.0,6,0.5,1,8,9,0.8,8,14,11,7,0,View Bio
15,"Mazlish, Dean 15 Mazlish, Dean",8,0.0,26,3.3,1,5,0.2,0,3,0.0,2,4,0.5,4,0.5,3,4,7,0.9,3,4,3,1,0,View Bio
54,"Breshears, Kort 54 Breshears, Kort",5,0.0,14,2.8,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,1,2,3,0.6,3,1,1,0,0,View Bio
42,"Mickus, Alex 42 Mickus, Alex",4,0.0,9,2.3,0,1,0.0,0,1,0.0,0,0,0.0,0,0.0,1,0,1,0.3,1,0,0,0,0,View Bio
TM,Team  TM Team,25,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,62,40,102,4.1,0,0,7,0,0,
,Total,25,,5050,202.0,912,2229,0.409,443,1327,0.334,450,628,0.717,2717,108.68,536,553,1089,43.6,602,449,388,358,165,
,Opponents,25,,5049,202.0,956,1730,0.553,94,268,0.351,527,755,0.698,2533,101.32,355,866,1221,48.8,533,610,630,199,88,
