0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
Highland Championship,"Sep 1-2, 2023",2,78-75=153,+9,t-25th/95
Iowa Central Fall Kickoff,"Sep 11, 2023",1,80,+9,
BVU Fall Invite,"Sep 16-17, 2023",2,78-80=158,+14,t-36th/68
Iowa Central Dual,"Sep 30, 2023",1,73,+3,t-6th/17
Central Fall Classic,"Oct 2-3, 2023",2,81-78=159,+15,t-33rd/100
Lyon Spring Break Classic,"March 21, 2024",1,81,+9,t-5th/15
Linda Lowery Invitational,March 25-26 2024,2,84-87=171,+27,t-53rd/71
Rhodes Spring Classic,"April 7-8, 2024",3,81-77-81=239,+23,34th/56
2024 Knox College Invite,"April 13-14, 2024",2,76--4=76,+4,57th/57
Grinnell Mini-Invite,"April 20, 2024",1,81,+11,8th/27
2024 SLIAC Championships,"April 28-30, 2024",3,77-73-79=229,+16,31st/65
SEASON TOTALS,SEASON TOTALS,19,1500 Avg. 78.9,+7,-
