0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
Highland Championship,"Sep 1-2, 2023",2,72-73=145,+1,t-2nd/95
Iowa Central Fall Kickoff,"Sep 11, 2023",1,76,+5,
BVU Fall Invite,"Sep 16-17, 2023",2,77-78=155,+11,t-27th/68
Iowa Central Dual,"Sep 30, 2023",1,70,E,t-1st/17
Central Fall Classic,"Oct 2-3, 2023",2,83-73=156,+12,t-19th/100
Lyon Spring Break Classic,"March 21, 2024",1,77,+5,3rd/15
Linda Lowery Invitational,March 25-26 2024,2,86-85=171,+27,t-53rd/71
Rhodes Spring Classic,"April 7-8, 2024",3,75-77-78=230,+14,18th/56
2024 Knox College Invite,"April 13-14, 2024",2,78-79=157,+13,t-14th/57
Grinnell Mini-Invite,"April 20, 2024",1,75,+5,1st/27
2024 SLIAC Championships,"April 28-30, 2024",3,77-77-71=225,+12,26th/65
SEASON TOTALS,SEASON TOTALS,20,1537 Avg. 76.9,+5,-
