0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
Highland Championship,"Sep 1-2, 2023",2,78-83=161,+17,t-65th/95
Iowa Central Fall Kickoff,"Sep 11, 2023",1,79,+8,
BVU Fall Invite,"Sep 16-17, 2023",2,79-74=153,+9,t-20th/68
Iowa Central Dual,"Sep 30, 2023",1,75,+5,10th/17
Central Fall Classic,"Oct 2-3, 2023",2,85-73=158,+14,t-29th/100
Lyon Spring Break Classic,"March 21, 2024",1,81,+9,t-5th/15
Linda Lowery Invitational,March 25-26 2024,2,80-75=155,+11,t-11th/71
Rhodes Spring Classic,"April 7-8, 2024",3,87-77-80=244,+28,t-40th/56
2024 Knox College Invite,"April 13-14, 2024",2,73-84=157,+13,t-14th/57
Grinnell Mini-Invite,"April 20, 2024",1,89,+19,t-15th/27
2024 SLIAC Championships,"April 28-30, 2024",3,89-77-70=236,+23,t-41st/65
SEASON TOTALS,SEASON TOTALS,20,1588 Avg. 79.4,+8,-
