0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
Iowa Central Dual,"Sep 30, 2023",1,79,+9,15th/17
Grinnell Mini-Invite,"April 20, 2024",1,102,+32,24th/27
SEASON TOTALS,SEASON TOTALS,2,181 Avg. 90.5,+21,-
