0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
Iowa Central Dual,"Sep 30, 2023",1,77,+7,14th/17
Central Fall Classic,"Oct 2-3, 2023",2,83-83=166,+22,t-71st/100
Lyon Spring Break Classic,"March 21, 2024",1,82,+10,t-7th/15
Linda Lowery Invitational,March 25-26 2024,2,81-77=158,+14,t-19th/71
Rhodes Spring Classic,"April 7-8, 2024",3,79-81-85=245,+29,t-42nd/56
2024 Knox College Invite,"April 13-14, 2024",2,89-84=173,+29,t-43rd/57
Grinnell Mini-Invite,"April 20, 2024",1,89,+19,t-15th/27
2024 SLIAC Championships,"April 28-30, 2024",3,80-73-74=227,+14,t-28th/65
SEASON TOTALS,SEASON TOTALS,15,1217 Avg. 81.1,+10,-
