0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
Iowa Central Fall Kickoff,"Sep 11, 2023",1,78,+7,
BVU Fall Invite,"Sep 16-17, 2023",2,74-77=151,+7,t-12th/68
Iowa Central Dual,"Sep 30, 2023",1,71,+1,t-3rd/17
Lyon Spring Break Classic,"March 21, 2024",1,92,+20,14th/15
Linda Lowery Invitational,March 25-26 2024,2,79-90=169,+25,t-49th/71
Rhodes Spring Classic,"April 7-8, 2024",3,81-80-80=241,+25,37th/56
2024 Knox College Invite,"April 13-14, 2024",2,87-85=172,+28,t-39th/57
2024 SLIAC Championships,"April 28-30, 2024",3,84-78-73=235,+22,40th/65
SEASON TOTALS,SEASON TOTALS,15,1209 Avg. 80.6,+9,-
