Opponent,Date,Score,MAR,FG,FG PCT,3FG,3FG PCT,FT,FT PCT,RB,AST,TO,BLK,STL,PF
Kalamazoo,11/09/24,115-130,-15,37-95/48-74,.389/.649,17-53/4-14,.321/.286,24-39/30-43,.615-.698,39/58 -19,16/31,20/31,1/4,22/11,31/32
Alma,11/10/24,124-79,45,40-96/32-76,.417/.421,19-52/4-29,.365/.138,25-45/11-18,.556-.611,53/52 1,24/21,12/33,3/7,24/6,22/26
Principia,11/16/24,126-89,37,45-111/38-81,.405/.469,19-67/0-5,.284/.000,17-26/13-22,.654-.591,66/52 14,22/14,14/29,3/1,19/7,23/21
Wartburg,11/19/24,111-123,-12,38-100/48-77,.380/.623,17-62/3-13,.274/.231,18-29/24-35,.621-.686,47/58 -11,14/29,14/22,1/2,11/6,28/24
Maranatha Baptist,11/22/24,135-79,56,52-106/30-64,.491/.469,23-65/3-9,.354/.333,8-12/16-28,.667-.571,60/35 25,33/21,14/28,6/2,19/3,23/11
Macalester,11/23/24,133-92,41,47-97/30-70,.485/.429,23-55/8-29,.418/.276,16-23/24-33,.696-.727,50/54 -4,27/10,17/36,5/2,23/8,26/19
Greenville,11/30/24,125-101,24,47-91/32-92,.516/.348,22-54/14-47,.407/.298,9-13/23-36,.692-.639,62/52 10,40/16,37/31,3/1,14/27,24/14
Knox,12/03/24,107-101,6,32-82/37-77,.390/.481,8-44/3-18,.182/.167,35-49/24-41,.714-.585,46/60 -14,15/22,19/29,5/5,19/4,30/32
Lawrence University,12/07/24,110-78,32,39-78/33-66,.500/.500,8-35/4-17,.229/.235,24-32/8-16,.750-.500,42/38 4,15/21,12/25,2/1,15/7,16/20
Cornell College,12/11/24,105-93,12,34-72/35-67,.472/.522,15-43/11-32,.349/.344,22-27/12-23,.815-.522,40/40 0,20/30,16/20,1/0,14/6,21/22
Blackburn,12/14/24,120-79,41,40-91/32-66,.440/.485,20-59/1-8,.339/.125,20-29/14-19,.690-.737,42/50 -8,20/10,19/43,7/1,30/12,18/19
Northland,12/30/24,137-75,62,48-102/25-57,.471/.439,22-63/6-15,.349/.400,19-24/19-28,.792-.679,51/42 9,26/20,13/41,5/0,28/9,23/20
Lake Forest,01/04/25,116-127,-11,39-86/47-77,.453/.610,21-56/9-21,.375/.429,17-27/24-36,.630-.667,45/43 2,23/30,17/16,1/2,11/9,25/23
Ripon,01/08/25,99-97,2,30-84/38-70,.357/.543,12-55/9-25,.218/.360,27-34/12-16,.794-.750,44/50 -6,16/20,11/25,2/2,13/7,20/25
Lawrence,01/11/25,109-86,23,37-74/29-67,.500/.433,11-39/3-16,.282/.188,24-41/25-41,.585-.610,46/47 -1,20/14,17/24,5/1,15/9,24/29
Beloit,01/14/25,105-104,1,32-77/37-80,.416/.463,8-36/5-18,.222/.278,33-44/25-45,.750-.556,41/62 -21,15/31,21/32,1/0,19/13,33/28
