Name,GP,PF,PF/G
"#54 Vincent, John",16,45,2.8
"#05 Courtney, Nick",16,43,2.7
"#02 Johnson, Tolu",15,43,2.9
"#01 Dar, Harris",16,32,2.0
"#23 Nikolic, Strahinja",14,27,1.9
"#03 Walser, Sean",16,27,1.7
"#11 Te Huki, Kai",16,25,1.6
"#10 Garcia, Gabe",13,20,1.5
"#00 Leone, Jackson",16,20,1.3
"#04 Lee, Jordan",16,19,1.2
"#24 Gestring, Dillon",16,13,0.8
"#13 DeBruhl, Carson",16,12,0.8
"#15 Rosen, Zach",10,11,1.1
"#21 Murphy, Sean",16,10,0.6
"#12 Priest, Mitch",16,9,0.6
"#42 DeGeorge, Max",10,8,0.8
"#22 Bluder, David",16,7,0.4
"#45 Lundy, Nick",12,7,0.6
"#33 Ruhanen, Jack",15,5,0.3
"#25 Deal, Tanner",11,4,0.4
