Name,GP,REB,AVG/G,OFF,OFF/G,DEF,DEF/G
"#02 Johnson, Tolu",15,103,6.9,34,2.3,69,4.6
"#54 Vincent, John",16,76,4.8,31,1.9,45,2.8
#TM Team,16,67,4.2,36,2.3,31,1.9
"#00 Leone, Jackson",16,57,3.6,14,0.9,43,2.7
"#01 Dar, Harris",16,52,3.3,21,1.3,31,1.9
"#45 Lundy, Nick",12,51,4.3,20,1.7,31,2.6
"#04 Lee, Jordan",16,48,3.0,20,1.3,28,1.8
"#05 Courtney, Nick",16,43,2.7,17,1.1,26,1.6
"#11 Te Huki, Kai",16,38,2.4,29,1.8,9,0.6
"#23 Nikolic, Strahinja",14,37,2.6,11,0.8,26,1.9
"#03 Walser, Sean",16,37,2.3,17,1.1,20,1.3
"#21 Murphy, Sean",16,35,2.2,19,1.2,16,1.0
"#10 Garcia, Gabe",13,33,2.5,13,1.0,20,1.5
"#33 Ruhanen, Jack",15,23,1.5,12,0.8,11,0.7
"#13 DeBruhl, Carson",16,16,1.0,8,0.5,8,0.5
"#15 Rosen, Zach",10,15,1.5,4,0.4,11,1.1
"#24 Gestring, Dillon",16,11,0.7,4,0.3,7,0.4
"#12 Priest, Mitch",16,11,0.7,4,0.3,7,0.4
"#22 Bluder, David",16,9,0.6,9,0.6,0,0.0
"#25 Deal, Tanner",11,6,0.5,2,0.2,4,0.4
"#42 DeGeorge, Max",10,6,0.6,4,0.4,2,0.2
