#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,TO,STL,BLK,Bio Link
11,"Te Huki, Kai 11 Te Huki, Kai",16,14.0,292,18.3,115,270,0.426,56,185,0.303,65,86,0.756,351,21.9,29,9,38,2.4,25,30,29,17,0,View Bio
10,"Garcia, Gabe 10 Garcia, Gabe",13,3.0,196,15.1,83,178,0.466,17,53,0.321,93,112,0.83,276,21.2,13,20,33,2.5,20,42,42,25,2,View Bio
01,"Dar, Harris 01 Dar, Harris",16,4.0,243,15.2,70,128,0.547,5,22,0.227,43,82,0.524,188,11.8,21,31,52,3.3,32,83,47,32,5,View Bio
21,"Murphy, Sean 21 Murphy, Sean",16,3.0,226,14.1,55,130,0.423,49,122,0.402,26,35,0.743,185,11.6,19,16,35,2.2,10,14,13,10,0,View Bio
45,"Lundy, Nick 45 Lundy, Nick",12,2.0,165,13.8,49,96,0.51,12,45,0.267,8,11,0.727,118,9.8,20,31,51,4.3,7,11,5,8,0,View Bio
04,"Lee, Jordan 04 Lee, Jordan",16,8.0,236,14.8,42,136,0.309,37,120,0.308,22,34,0.647,143,8.9,20,28,48,3.0,19,32,19,14,0,View Bio
00,"Leone, Jackson 00 Leone, Jackson",16,3.0,246,15.4,37,83,0.446,27,65,0.415,12,20,0.6,113,7.1,14,43,57,3.6,20,20,18,62,2,View Bio
54,"Vincent, John 54 Vincent, John",16,3.0,185,11.6,36,57,0.632,1,2,0.5,14,28,0.5,87,5.4,31,45,76,4.8,45,0,11,4,17,View Bio
03,"Walser, Sean 03 Walser, Sean",16,9.0,186,11.6,28,42,0.667,12,23,0.522,8,11,0.727,76,4.8,17,20,37,2.3,27,5,12,18,3,View Bio
22,"Bluder, David 22 Bluder, David",16,1.0,118,7.4,24,67,0.358,10,47,0.213,6,7,0.857,64,4.0,9,0,9,0.6,7,3,4,9,1,View Bio
15,"Rosen, Zach 15 Rosen, Zach",10,7.0,114,11.4,14,32,0.438,7,22,0.318,3,5,0.6,38,3.8,4,11,15,1.5,11,20,6,13,0,View Bio
02,"Johnson, Tolu 02 Johnson, Tolu",15,12.0,233,15.5,20,30,0.667,0,1,0.0,13,23,0.565,53,3.5,34,69,103,6.9,43,23,20,18,9,View Bio
23,"Nikolic, Strahinja 23 Nikolic, Strahinja",14,0.0,130,9.3,19,37,0.514,3,12,0.25,5,9,0.556,46,3.3,11,26,37,2.6,27,6,8,4,8,View Bio
12,"Priest, Mitch 12 Priest, Mitch",16,2.0,103,6.4,12,34,0.353,10,30,0.333,1,2,0.5,35,2.2,4,7,11,0.7,9,10,3,3,0,View Bio
05,"Courtney, Nick 05 Courtney, Nick",16,5.0,191,11.9,10,29,0.345,5,20,0.25,6,8,0.75,31,1.9,17,26,43,2.7,43,15,11,33,2,View Bio
13,"DeBruhl, Carson 13 DeBruhl, Carson",16,2.0,100,6.3,8,28,0.286,6,23,0.261,2,5,0.4,24,1.5,8,8,16,1.0,12,16,6,5,0,View Bio
42,"DeGeorge, Max 42 DeGeorge, Max",10,2.0,56,5.6,4,19,0.211,4,19,0.211,0,0,0.0,12,1.2,4,2,6,0.6,8,5,1,6,0,View Bio
24,"Gestring, Dillon 24 Gestring, Dillon",16,0.0,95,5.9,5,22,0.227,1,13,0.077,5,8,0.625,16,1.0,4,7,11,0.7,13,6,0,10,1,View Bio
33,"Ruhanen, Jack 33 Ruhanen, Jack",15,0.0,73,4.9,4,15,0.267,1,5,0.2,4,6,0.667,13,0.9,12,11,23,1.5,5,4,5,3,1,View Bio
25,"Deal, Tanner 25 Deal, Tanner",11,0.0,37,3.4,2,9,0.222,2,9,0.222,2,2,1.0,8,0.7,2,4,6,0.5,4,1,1,2,0,View Bio
TM,Team  TM Team,16,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,36,31,67,4.2,0,0,12,0,0,
,Total,16,,3225,201.6,637,1442,0.442,265,838,0.316,338,494,0.684,1877,117.31,329,445,774,48.4,387,346,273,296,51,
,Opponents,16,,3225,201.6,571,1161,0.492,87,316,0.275,304,480,0.633,1533,95.81,243,550,793,49.6,365,340,465,144,31,
