Name,GP,TO,TO/G
"#01 Dar, Harris",16,47,2.9
"#10 Garcia, Gabe",13,42,3.2
"#11 Te Huki, Kai",16,29,1.8
"#02 Johnson, Tolu",15,20,1.3
"#04 Lee, Jordan",16,19,1.2
"#00 Leone, Jackson",16,18,1.1
"#21 Murphy, Sean",16,13,0.8
#TM Team,16,12,0.8
"#03 Walser, Sean",16,12,0.8
"#05 Courtney, Nick",16,11,0.7
"#54 Vincent, John",16,11,0.7
"#23 Nikolic, Strahinja",14,8,0.6
"#13 DeBruhl, Carson",16,6,0.4
"#15 Rosen, Zach",10,6,0.6
"#45 Lundy, Nick",12,5,0.4
"#33 Ruhanen, Jack",15,5,0.3
"#22 Bluder, David",16,4,0.3
"#12 Priest, Mitch",16,3,0.2
"#25 Deal, Tanner",11,1,0.1
"#42 DeGeorge, Max",10,1,0.1
