#,Player,GP,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0
#,Player,GP,MIN,FG%,3PT%,FT%,OREB,DREB,REB,AST,STL,BLK,PTS
11.0,"Te Huki, Kai 11 Te Huki, Kai",16,18.3,0.426,0.303,0.756,1.8,0.6,2.4,1.9,1.1,0.0,21.9
10.0,"Garcia, Gabe 10 Garcia, Gabe",13,15.1,0.466,0.321,0.83,1.0,1.5,2.5,3.2,1.9,0.2,21.2
1.0,"Dar, Harris 01 Dar, Harris",16,15.2,0.547,0.227,0.524,1.3,1.9,3.3,5.2,2.0,0.3,11.8
21.0,"Murphy, Sean 21 Murphy, Sean",16,14.1,0.423,0.402,0.743,1.2,1.0,2.2,0.9,0.6,0.0,11.6
45.0,"Lundy, Nick 45 Lundy, Nick",12,13.8,0.51,0.267,0.727,1.7,2.6,4.3,0.9,0.7,0.0,9.8
4.0,"Lee, Jordan 04 Lee, Jordan",16,14.8,0.309,0.308,0.647,1.3,1.8,3.0,2.0,0.9,0.0,8.9
0.0,"Leone, Jackson 00 Leone, Jackson",16,15.4,0.446,0.415,0.6,0.9,2.7,3.6,1.3,3.9,0.1,7.1
54.0,"Vincent, John 54 Vincent, John",16,11.6,0.632,0.5,0.5,1.9,2.8,4.8,0.0,0.3,1.1,5.4
3.0,"Walser, Sean 03 Walser, Sean",16,11.6,0.667,0.522,0.727,1.1,1.3,2.3,0.3,1.1,0.2,4.8
22.0,"Bluder, David 22 Bluder, David",16,7.4,0.358,0.213,0.857,0.6,0.0,0.6,0.2,0.6,0.1,4.0
2.0,"Johnson, Tolu 02 Johnson, Tolu",15,15.5,0.667,0.0,0.565,2.3,4.6,6.9,1.5,1.2,0.6,3.5
15.0,"Rosen, Zach 15 Rosen, Zach",10,11.4,0.438,0.318,0.6,0.4,1.1,1.5,2.0,1.3,0.0,3.8
23.0,"Nikolic, Strahinja 23 Nikolic, Strahinja",14,9.3,0.514,0.25,0.556,0.8,1.9,2.6,0.4,0.3,0.6,3.3
12.0,"Priest, Mitch 12 Priest, Mitch",16,6.4,0.353,0.333,0.5,0.3,0.4,0.7,0.6,0.2,0.0,2.2
5.0,"Courtney, Nick 05 Courtney, Nick",16,11.9,0.345,0.25,0.75,1.1,1.6,2.7,0.9,2.1,0.1,1.9
13.0,"DeBruhl, Carson 13 DeBruhl, Carson",16,6.3,0.286,0.261,0.4,0.5,0.5,1.0,1.0,0.3,0.0,1.5
42.0,"DeGeorge, Max 42 DeGeorge, Max",10,5.6,0.211,0.211,0.0,0.4,0.2,0.6,0.5,0.6,0.0,1.2
24.0,"Gestring, Dillon 24 Gestring, Dillon",16,5.9,0.227,0.077,0.625,0.3,0.4,0.7,0.4,0.6,0.1,1.0
25.0,"Deal, Tanner 25 Deal, Tanner",11,3.4,0.222,0.222,1.0,0.2,0.4,0.5,0.1,0.2,0.0,0.7
33.0,"Ruhanen, Jack 33 Ruhanen, Jack",15,4.9,0.267,0.2,0.667,0.8,0.7,1.5,0.3,0.2,0.1,0.9
,Total,16,201.6,0.442,0.316,0.684,20.6,27.8,48.4,21.6,18.5,3.2,117.31
,Opponents,16,201.6,0.492,0.275,0.633,15.2,34.4,49.6,21.3,9.0,1.9,95.81
