Opponent,Date,Score,W/L,FGM/A,PCT,3FG/A,PCT.1,FTM/A,PCT.2,OFF,DEF,TOT,AVG,PF,AST,TO,BLK,STL,PTS,AVG.1
Kalamazoo,11/09/24,130-115,W,48-74,0.649,4-14,0.286,30-43,0.698,10,48,58,58.0,32,31,31,4,11,130,130.0
Alma,11/10/24,79-124,L,32-76,0.421,4-29,0.138,11-18,0.611,13,39,52,55.0,26,21,33,7,6,79,104.5
Principia,11/16/24,89-126,L,38-81,0.469,0-5,0.0,13-22,0.591,15,37,52,54.0,21,14,29,1,7,89,99.3
Wartburg,11/19/24,123-111,W,48-77,0.623,3-13,0.231,24-35,0.686,13,45,58,55.0,24,29,22,2,6,123,105.3
Maranatha Baptist,11/22/24,79-135,L,30-64,0.469,3-9,0.333,16-28,0.571,5,30,35,51.0,11,21,28,2,3,79,100.0
Macalester,11/23/24,92-133,L,30-70,0.429,8-29,0.276,24-33,0.727,20,34,54,51.5,19,10,36,2,8,92,98.7
Greenville,11/30/24,101-125,L,32-92,0.348,14-47,0.298,23-36,0.639,24,28,52,51.6,14,16,31,1,27,101,99.0
Knox,12/03/24,101-107,L,37-77,0.481,3-18,0.167,24-41,0.585,26,34,60,52.6,32,22,29,5,4,101,99.3
Lawrence University,12/07/24,78-110,L,33-66,0.5,4-17,0.235,8-16,0.5,8,30,38,51.0,20,21,25,1,7,78,96.9
Cornell College,12/11/24,93-105,L,35-67,0.522,11-32,0.344,12-23,0.522,13,27,40,49.9,22,30,20,0,6,93,96.5
Blackburn,12/14/24,79-120,L,32-66,0.485,1-8,0.125,14-19,0.737,13,37,50,49.9,19,10,43,1,12,79,94.9
Northland,12/30/24,75-137,L,25-57,0.439,6-15,0.4,19-28,0.679,10,32,42,49.3,20,20,41,0,9,75,93.3
Lake Forest,01/04/25,127-116,W,47-77,0.61,9-21,0.429,24-36,0.667,16,27,43,48.8,23,30,16,2,9,127,95.8
Ripon,01/08/25,97-99,L,38-70,0.543,9-25,0.36,12-16,0.75,15,35,50,48.9,25,20,25,2,7,97,95.9
Lawrence,01/11/25,86-109,L,29-67,0.433,3-16,0.188,25-41,0.61,16,31,47,48.7,29,14,24,1,9,86,95.3
Beloit,01/14/25,104-105,L (OT),37-80,0.463,5-18,0.278,25-45,0.556,26,36,62,49.6,28,31,32,0,13,104,95.8
Grinnell,,-,,637-1442,0.442,265-838,0.316,338-494,0.684,329,445,774,48.4,387,346,273,51,296,1877,117.3
Opponents,,-,,571-1161,0.492,87-316,0.275,304-480,0.633,243,550,793,49.6,365,340,465,31,144,1533,95.8
