Name,GP,Pts,Pts/G
"#11 Te Huki, Kai",16,351,21.9
"#10 Garcia, Gabe",13,276,21.2
"#01 Dar, Harris",16,188,11.8
"#21 Murphy, Sean",16,185,11.6
"#04 Lee, Jordan",16,143,8.9
"#45 Lundy, Nick",12,118,9.8
"#00 Leone, Jackson",16,113,7.1
"#54 Vincent, John",16,87,5.4
"#03 Walser, Sean",16,76,4.8
"#22 Bluder, David",16,64,4.0
"#02 Johnson, Tolu",15,53,3.5
"#23 Nikolic, Strahinja",14,46,3.3
"#15 Rosen, Zach",10,38,3.8
"#12 Priest, Mitch",16,35,2.2
"#05 Courtney, Nick",16,31,1.9
"#13 DeBruhl, Carson",16,24,1.5
"#24 Gestring, Dillon",16,16,1.0
"#33 Ruhanen, Jack",15,13,0.9
"#42 DeGeorge, Max",10,12,1.2
"#25 Deal, Tanner",11,8,0.7
