Name,GP,MIN,MIN/G
"#11 Te Huki, Kai",16,292,18.3
"#00 Leone, Jackson",16,246,15.4
"#01 Dar, Harris",16,243,15.2
"#04 Lee, Jordan",16,236,14.8
"#02 Johnson, Tolu",15,233,15.5
"#21 Murphy, Sean",16,226,14.1
"#10 Garcia, Gabe",13,196,15.1
"#05 Courtney, Nick",16,191,11.9
"#03 Walser, Sean",16,186,11.6
"#54 Vincent, John",16,185,11.6
"#45 Lundy, Nick",12,165,13.8
"#23 Nikolic, Strahinja",14,130,9.3
"#22 Bluder, David",16,118,7.4
"#15 Rosen, Zach",10,114,11.4
"#12 Priest, Mitch",16,103,6.4
"#13 DeBruhl, Carson",16,100,6.3
"#24 Gestring, Dillon",16,95,5.9
"#33 Ruhanen, Jack",15,73,4.9
"#42 DeGeorge, Max",10,56,5.6
"#25 Deal, Tanner",11,37,3.4
