Name,GP,FTM,FTA,FT%,FTM/G,FTA/G
"#10 Garcia, Gabe",13,93,112,0.83,7.2,8.6
"#11 Te Huki, Kai",16,65,86,0.756,4.1,5.4
"#01 Dar, Harris",16,43,82,0.524,2.7,5.1
"#21 Murphy, Sean",16,26,35,0.743,1.6,2.2
"#04 Lee, Jordan",16,22,34,0.647,1.4,2.1
"#54 Vincent, John",16,14,28,0.5,0.9,1.8
"#02 Johnson, Tolu",15,13,23,0.565,0.9,1.5
"#00 Leone, Jackson",16,12,20,0.6,0.8,1.3
"#45 Lundy, Nick",12,8,11,0.727,0.7,0.9
"#03 Walser, Sean",16,8,11,0.727,0.5,0.7
"#22 Bluder, David",16,6,7,0.857,0.4,0.4
"#05 Courtney, Nick",16,6,8,0.75,0.4,0.5
"#24 Gestring, Dillon",16,5,8,0.625,0.3,0.5
"#23 Nikolic, Strahinja",14,5,9,0.556,0.4,0.6
"#33 Ruhanen, Jack",15,4,6,0.667,0.3,0.4
"#15 Rosen, Zach",10,3,5,0.6,0.3,0.5
"#25 Deal, Tanner",11,2,2,1.0,0.2,0.2
"#13 DeBruhl, Carson",16,2,5,0.4,0.1,0.3
"#12 Priest, Mitch",16,1,2,0.5,0.1,0.1
