Statistic,High,Player,Opponent
POINTS,41,"Garcia,Gabe",Kalamazoo (11/09/24)
FIELD GOALS MADE,14,"Te Huki,Kai",Greenville (11/30/24)
FIELD GOAL ATTEMPTS,26,"Garcia,Gabe",Kalamazoo (11/09/24)
3 PT FIELD GOALS MADE,8,"Te Huki,Kai",Greenville (11/30/24)
3 PT FG ATTEMPTS,20,"Te Huki,Kai",Wartburg (11/19/24)
FREE THROWS MADE,16,"Garcia,Gabe",Kalamazoo (11/09/24)
FREE THROW ATTEMPTS,21,"Garcia,Gabe",Kalamazoo (11/09/24)
REBOUNDS,16,"Johnson,Tolu",Lawrence (01/11/25)
ASSISTS,9,"Dar,Harris; Lee,Jordan",Northland (12/30/24); Alma (11/10/24)
STEALS,8,"Leone,Jackson",Macalester (11/23/24)
BLOCKED SHOTS,4,"Vincent,John",Blackburn (12/14/24)
TURNOVERS,7,"Dar,Harris",Beloit (01/14/25)
FOULS,5,"Dar,Harris; Courtney,Nick; Te Huki,Kai; Johnson,Tolu",Maranatha Baptist (11/22/24); Greenville (11/30/24); Cornell College (12/11/24); Beloit (01/14/25)
