Name,GP,FGM,FGA,FG%,FGM/G,FGA/G
"#11 Te Huki, Kai",16,115,270,0.426,7.2,16.9
"#10 Garcia, Gabe",13,83,178,0.466,6.4,13.7
"#01 Dar, Harris",16,70,128,0.547,4.4,8.0
"#21 Murphy, Sean",16,55,130,0.423,3.4,8.1
"#45 Lundy, Nick",12,49,96,0.51,4.1,8.0
"#04 Lee, Jordan",16,42,136,0.309,2.6,8.5
"#00 Leone, Jackson",16,37,83,0.446,2.3,5.2
"#54 Vincent, John",16,36,57,0.632,2.3,3.6
"#03 Walser, Sean",16,28,42,0.667,1.8,2.6
"#22 Bluder, David",16,24,67,0.358,1.5,4.2
"#02 Johnson, Tolu",15,20,30,0.667,1.3,2.0
"#23 Nikolic, Strahinja",14,19,37,0.514,1.4,2.6
"#15 Rosen, Zach",10,14,32,0.438,1.4,3.2
"#12 Priest, Mitch",16,12,34,0.353,0.8,2.1
"#05 Courtney, Nick",16,10,29,0.345,0.6,1.8
"#13 DeBruhl, Carson",16,8,28,0.286,0.5,1.8
"#24 Gestring, Dillon",16,5,22,0.227,0.3,1.4
"#42 DeGeorge, Max",10,4,19,0.211,0.4,1.9
"#33 Ruhanen, Jack",15,4,15,0.267,0.3,1.0
"#25 Deal, Tanner",11,2,9,0.222,0.2,0.8
