Statistic,High,Opponent
POINTS,137,Northland (12/30/24)
FIELD GOALS MADE,52,Maranatha Baptist (11/22/24)
FIELD GOAL ATTEMPTS,111,Principia (11/16/24)
3 PT FIELD GOALS MADE,23,Maranatha Baptist (11/22/24); Macalester (11/23/24)
3 PT FG ATTEMPTS,67,Principia (11/16/24)
FREE THROWS MADE,35,Knox (12/03/24)
FREE THROW ATTEMPTS,49,Knox (12/03/24)
REBOUNDS,66,Principia (11/16/24)
ASSISTS,40,Greenville (11/30/24)
STEALS,30,Blackburn (12/14/24)
BLOCKED SHOTS,7,Blackburn (12/14/24)
TURNOVERS,37,Greenville (11/30/24)
FOULS,33,Beloit (01/14/25)
