Name,GP,3PM,3PA,3P%,3PM/G,3PA/G
"#11 Te Huki, Kai",16,56,185,0.303,3.5,11.6
"#21 Murphy, Sean",16,49,122,0.402,3.1,7.6
"#04 Lee, Jordan",16,37,120,0.308,2.3,7.5
"#00 Leone, Jackson",16,27,65,0.415,1.7,4.1
"#10 Garcia, Gabe",13,17,53,0.321,1.3,4.1
"#45 Lundy, Nick",12,12,45,0.267,1.0,3.8
"#03 Walser, Sean",16,12,23,0.522,0.8,1.4
"#22 Bluder, David",16,10,47,0.213,0.6,2.9
"#12 Priest, Mitch",16,10,30,0.333,0.6,1.9
"#15 Rosen, Zach",10,7,22,0.318,0.7,2.2
"#13 DeBruhl, Carson",16,6,23,0.261,0.4,1.4
"#05 Courtney, Nick",16,5,20,0.25,0.3,1.3
"#01 Dar, Harris",16,5,22,0.227,0.3,1.4
"#42 DeGeorge, Max",10,4,19,0.211,0.4,1.9
"#23 Nikolic, Strahinja",14,3,12,0.25,0.2,0.9
"#25 Deal, Tanner",11,2,9,0.222,0.2,0.8
"#24 Gestring, Dillon",16,1,13,0.077,0.1,0.8
"#33 Ruhanen, Jack",15,1,5,0.2,0.1,0.3
"#54 Vincent, John",16,1,2,0.5,0.1,0.1
"#02 Johnson, Tolu",15,0,1,0.0,0.0,0.1
