Name,GP,STL,STL/G
"#00 Leone, Jackson",16,62,3.9
"#05 Courtney, Nick",16,33,2.1
"#01 Dar, Harris",16,32,2.0
"#10 Garcia, Gabe",13,25,1.9
"#02 Johnson, Tolu",15,18,1.2
"#03 Walser, Sean",16,18,1.1
"#11 Te Huki, Kai",16,17,1.1
"#04 Lee, Jordan",16,14,0.9
"#15 Rosen, Zach",10,13,1.3
"#24 Gestring, Dillon",16,10,0.6
"#21 Murphy, Sean",16,10,0.6
"#22 Bluder, David",16,9,0.6
"#45 Lundy, Nick",12,8,0.7
"#42 DeGeorge, Max",10,6,0.6
"#13 DeBruhl, Carson",16,5,0.3
"#23 Nikolic, Strahinja",14,4,0.3
"#54 Vincent, John",16,4,0.3
"#12 Priest, Mitch",16,3,0.2
"#33 Ruhanen, Jack",15,3,0.2
"#25 Deal, Tanner",11,2,0.2
