Name,GP,AST,AST/G
"#01 Dar, Harris",16,83,5.2
"#10 Garcia, Gabe",13,42,3.2
"#04 Lee, Jordan",16,32,2.0
"#11 Te Huki, Kai",16,30,1.9
"#02 Johnson, Tolu",15,23,1.5
"#00 Leone, Jackson",16,20,1.3
"#15 Rosen, Zach",10,20,2.0
"#13 DeBruhl, Carson",16,16,1.0
"#05 Courtney, Nick",16,15,0.9
"#21 Murphy, Sean",16,14,0.9
"#45 Lundy, Nick",12,11,0.9
"#12 Priest, Mitch",16,10,0.6
"#24 Gestring, Dillon",16,6,0.4
"#23 Nikolic, Strahinja",14,6,0.4
"#42 DeGeorge, Max",10,5,0.5
"#03 Walser, Sean",16,5,0.3
"#33 Ruhanen, Jack",15,4,0.3
"#22 Bluder, David",16,3,0.2
"#25 Deal, Tanner",11,1,0.1
