Name,GP,AST,TO,AST/TO Ratio
"#42 DeGeorge, Max",10,5,1,5.0
"#12 Priest, Mitch",16,10,3,3.33
"#15 Rosen, Zach",10,20,6,3.33
"#13 DeBruhl, Carson",16,16,6,2.67
"#45 Lundy, Nick",12,11,5,2.2
"#05 Courtney, Nick",16,15,11,1.36
"#01 Dar, Harris",16,83,47,1.77
"#25 Deal, Tanner",11,1,1,1.0
"#10 Garcia, Gabe",13,42,42,1.0
"#11 Te Huki, Kai",16,30,29,1.03
"#02 Johnson, Tolu",15,23,20,1.15
"#04 Lee, Jordan",16,32,19,1.68
"#00 Leone, Jackson",16,20,18,1.11
"#21 Murphy, Sean",16,14,13,1.08
