Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date
,"Page, James",FR-1,46.19m,"151' 6""",16 Midwest Conference Championships,"May 13, 2016"
,"Gustafson, Jack",FR-1,41.86m,"137' 4""",2016 Jim Duncan Invitational,"Apr 15, 2016"
