Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date,Wind
,"Goldstein, Sam",SR,6.02m,"19' 9""",UNI Dome Open,"Feb 19, 2010",0.0
,"Jenkins, Fernando",SR-4,5.43m,"17' 9.75""",UNI Dome Open,"Feb 19, 2010",0.0
,"Brost, Daryl",SR,5.10m,"16' 8.75""",Mid-West Conference Championship,"Feb 26, 2010",0.0
