0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,,,Low Tournaments,Low Tournaments,Low Tournaments,Low Tournaments,Low,Par/-,Finish Top,Finish Top,Finish Top,Finish Top,,,
Season,Rounds,Strokes,72-holes,54-holes,36-holes,18-holes,Round,Rounds,Events,1,5,10,W-L,W-L%,Average
2017-18,11,920,-,266,156,79,76,-,7,-,3,3,236-56,.808,83.6
2018-19,14,1159,-,-,158,76,76,-,9,-,1,1,299-160,.651,82.8
Totals,25,2079,-,266,156,76,76,-,16,-,4,4,535-216,.712,83.2
