0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,,,Low Tournaments,Low Tournaments,Low Tournaments,Low Tournaments,Low,Par/-,Finish Top,Finish Top,Finish Top,Finish Top,,,
Season,Rounds,Strokes,72-holes,54-holes,36-holes,18-holes,Round,Rounds,Events,1,5,10,W-L,W-L%,Average
2015-16,14,1065,-,241,143,77,70,5,7,4,6,6,402-30,.931,76.1
2016-17,14,1054,-,221,148,74,73,1,8,2,7,8,337-15,.957,75.3
2017-18,13,997,-,232,148,71,71,1,8,2,6,7,354-10,.973,76.7
2018-19,14,1079,-,-,147,76,71,1,9,-,3,6,407-52,.887,77.1
Totals,55,4195,-,221,143,71,70,8,32,8,22,27,1500-107,.933,76.3
