0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,,,Low Tournaments,Low Tournaments,Low Tournaments,Low Tournaments,Low,Par/-,Finish Top,Finish Top,Finish Top,Finish Top,,,,
Player,Rounds,Strokes,72-holes,54-holes,36-holes,18-holes,Round,Rounds,Events,1,5,10,W-L,W-L%,Average,Seasons
Emily Adam,17,2070,-,320,217,105,100,-,10,-,-,-,34-413,.076,121.8,2013-15
Anisha Agarwalla,17,1537,-,265,180,80,80,-,10,-,2,2,141-150,.485,90.4,2015-18
Evelyn Anderson,20,2184,-,299,194,97,93,-,12,-,-,-,-,-,109.2,2008-10
Abbey Arnold,2,284,-,-,-,130,130,-,2,-,-,-,-,-,142.0,2002-03
Elizabeth Burnett,44,4005,-,251,160,85,79,-,24,-,2,3,307-264,.538,91.0,2009-13
Zair Burris,17,1759,-,314,206,92,92,-,12,-,-,-,-,-,103.5,2004-08
Caitlin Campbell,23,2304,-,282,194,90,87,-,17,-,-,-,-,-,100.2,2004-07
Erin Conboy,5,538,-,-,186,108,92,-,3,-,-,-,-,-,107.6,2001-02
Christina Cotnam,1,112,-,-,-,112,112,-,1,-,-,-,-,-,112.0,2000-01
Gwen Deger,3,318,-,-,-,105,105,-,3,-,-,-,-,-,106.0,2008-10
Haddie Dowson,15,1422,-,293,189,87,87,-,11,-,-,1,-,-,94.8,2004-07
Jessica Dvorak,5.5,676,-,-,235,117,117,-,5,-,-,-,-,-,122.9,1998-99
Julia Echikson,41,3670,-,271,167,79,79,-,25,-,1,5,466-705,.398,89.5,2016-19
Sarah Evans,2,185,-,-,-,90,90,-,2,-,-,-,-,-,92.5,1998-00
Stephanie Goggin,28.5,2754,-,270,179,94,87,-,16,-,-,1,-,-,96.6,2006-10
Jordan Heguy,33.5,3396,-,266,183,92,85,-,21,-,-,1,-,-,101.4,2005-09
Samanike Hengst,41,3722,373,262,166,83,81,-,22,-,-,6,487-702,.410,90.8,2014-18
Angie Jensen,21,2641,-,110,214,107,103,-,17,-,-,-,-,-,125.8,1998-02
Arina Kim,9,821,-,-,172,87,86,-,6,-,-,-,84-147,.364,91.2,2016-17
Natalie Klee,47,4275,-,278,174,83,83,-,26,-,1,5,335-271,.553,91.0,2009-13
Nina Kouchi,14,1070,-,-,141,75,69,2,9,1,5,6,389-70,.847,76.4,2018-19
Kayleigh Kresse,44,3918,-,253,164,83,79,-,24,-,4,9,618-370,.626,89.0,2011-15
Jenna Le Duc,8,825,-,-,201,101,100,-,5,-,-,-,-,-,103.1,2002-04
Marie Liska,27,2880,-,323,194,97,95,-,20,-,-,-,-,-,106.7,2003-07
Amy Livingston,37,3546,-,269,166,85,80,-,24,-,2,5,-,-,95.8,2005-09
Christina Mahoney,14,1596,-,-,221,101,101,-,9,-,-,1,-,-,114.0,1999-04
Holly Maness,3,328,-,-,231,97,97,-,2,-,-,-,-,-,109.3,2001-03
Nadia Manning,7.5,939,-,-,237,130,114,-,5,-,-,-,-,-,125.2,"1999,2001-02"
Ashlen Matzdorf,36,3649,-,289,189,91,88,-,22,-,-,-,-,-,101.4,2007-11
Mallory Messin,49,4186,-,245,158,77,76,-,28,-,11,15,515-206,.714,85.4,2009-13
Sarah Miller,17,2118,-,123,256,115,111,-,14,-,-,-,-,-,124.6,1998-00
Katie Mineck,4,503,-,-,248,123,118,-,3,-,-,-,-,-,125.8,2003-05
Hilary Minnick,27,2193,-,85,146,78,70,2,21,8,16,17,-,-,81.2,1998-02
Sam Nakahira,23,1998,-,270,168,83,80,-,12,-,-,5,379-325,.538,86.9,2015-18
Danielle Oberlander,25,2079,-,266,156,76,76,-,16,-,4,4,535-216,.712,83.2,2017-19
Ashley Pausig,22.5,2085,-,95,180,89,86,-,16,-,1,4,-,-,92.7,1999-03
Alex Plemmons,54,4864,393,269,163,84,79,-,27,-,3,10,871-560,.609,90.1,2011-15
Sarah Pohlman,22,2490,-,117,206,104,99,-,17,-,-,-,-,-,113.2,1998-01
Ericca Reavis,5,580,-,-,217,109,108,-,4,-,-,-,-,-,116.0,2004-05
Dena Rennard,13,1538,-,313,215,110,96,-,8,-,-,-,-,-,118.3,2007-09
Vidushi Sinha,55,4171,-,226,140,71,70,12,32,8,23,28,1527-76,.953,75.8,2015-19
Vrishali Sinha,55,4195,-,221,143,71,70,8,32,8,22,27,1500-107,.933,76.3,2015-19
Stephanie Spahr,51,4590,-,269,164,82,81,-,27,-,3,8,600-483,.554,90.0,2010-14
Hailey Speck,51,4583,366,266,164,80,80,-,26,1,6,13,742-507,.594,89.9,2011-15
Crystal Sutfin,19,2036,-,-,204,101,96,-,15,-,-,-,-,-,107.2,2002-07
Ellie Tennyson,2,247,-,-,247,-,121,-,1,-,-,-,-,-,123.5,2002-07
Elaine Teo,35,3535,-,291,186,89,89,-,20,-,-,1,56-103,.352,101.0,2008-12
Emily Westergaard,7.5,988,-,-,259,126,122,-,5,-,-,1,-,-,131.7,1998-02
Lauren Yi,42,3830,383,277,170,84,84,-,22,-,-,4,457-634,.419,91.2,2014-18
