0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
Wartburg College Women's Fall Invite,9/10/11 & 9/11/11,2,80-78=158,+14,t-13th/104
Illinois Wesleyan Fall Invitational,9/17-18/2011,2,87-89=176,+32,t-79th/133
Central College Fall Invitational,"Sept. 23-24, 2011",2,82-83=165,+21,2nd/35
Grinnell College Invitational,"Oct 1, 2011",1,86,+14,5th/39
Midwest Conference Championships,10/7-9/2011,3,85-80-80=245,+29,2nd/38
SEASON TOTALS,SEASON TOTALS,10,830 Avg. 83.0,+11,-
