0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
Wartburg College Women's Fall Invite,9/10/11 & 9/11/11,2,86-90=176,+32,t-51st/104
Illinois Wesleyan Fall Invitational,9/17-18/2011,2,88-89=177,+33,t-83rd/133
Central College Fall Invitational,"Sept. 23-24, 2011",2,87-92=179,+35,8th/35
Grinnell College Invitational,"Oct 1, 2011",1,83,+11,t-2nd/39
Midwest Conference Championships,10/7-9/2011,3,92-95-91=278,+62,t-12th/38
SEASON TOTALS,SEASON TOTALS,10,893 Avg. 89.3,+17,-
