0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
Wartburg College Women's Fall Invite,9/10/11 & 9/11/11,2,90-89=179,+35,57th/104
Illinois Wesleyan Fall Invitational,9/17-18/2011,2,81-83=164,+20,t-41st/133
Central College Fall Invitational,"Sept. 23-24, 2011",2,90-90=180,+36,9th/35
Grinnell College Invitational,"Oct 1, 2011",1,91,+19,13th/39
Midwest Conference Championships,10/7-9/2011,3,92-99-89=280,+64,t-17th/38
IWU Spring Fling,"Apr 14-15, 2012",2,84-95=179,+35,t-63rd/88
Central College Spring Inv.,"April 20-21, 2012",2,90-93=183,+39,t-12th/41
SEASON TOTALS,SEASON TOTALS,14,1256 Avg. 89.7,+18,-
