0,1,2,3,4,5,6,7,8,9,10,11
,,,Low Tournaments,Low Tournaments,Low Tournaments,Low,Finish Top,Finish Top,Finish Top,Finish Top,
Season,Rounds,Strokes,54-holes,36-holes,18-holes,Round,Events,1,5,10,Average
2013,9,1189,419,250,105,105,5,-,-,-,132.1
2014,8,881,320,217,106,100,5,-,-,-,110.1
Totals,17,2070,320,217,105,100,10,-,-,-,121.8
