0,1,2,3,4,5,6,7,8,9,10,11
,,,Low Tournaments,Low Tournaments,Low Tournaments,Low,Finish Top,Finish Top,Finish Top,Finish Top,
Season,Rounds,Strokes,54-holes,36-holes,18-holes,Round,Events,1,5,10,Average
2011,10,914,272,168,88,83,5,-,1,3,91.4
2012,9,787,-,173,80,80,5,-,2,4,87.4
2013,14,1301,280,173,92,86,7,-,-,1,92.9
2014,12,1041,266,164,86,81,7,1,3,5,86.8
Totals,45,4043,266,164,80,80,24,1,6,13,89.8
