Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date
,"Hiser, Alexander",SO-2,43.99m,"144' 4""",Midwest Conference Outdoor Championships (South Division),"May 14, 2021"
,"Breshears, Kort",SO-2,40.39m,"132' 6""",2021 Prairie Fire Invitational,"Apr 24, 2021"
,"Markegard, Carter",SR-4,24.90m,"81' 8""",2021 Prairie Fire Invitational,"Apr 24, 2021"
