Unnamed: 0,Time,Athletes,Meet,Meet Date
,3:23.69,"Gilbert, Jacobs, O'Reilly, Willis",Midwest Conference Outdoor Championship,"May 13, 2022"
,3:25.35,"Jacobs, Fuller, O'Reilly, Willis",Mustang Open,"Apr 9, 2022"
,3:30.18,"Jacobs, Harvey, O'Reilly, Willis",Dick Young Invitational,"Apr 23, 2022"
,3:31.70,"Jacobs, O'Reilly, Nickeson, Willis",Emory Thrills in the Hills Open,"Mar 25, 2022"
,3:32.30,"Gilbert, Boev, Nickeson, Fuller",Dick Young Invitational,"Apr 23, 2022"
,3:58.35,"Williams, Short, Ramsey, Krysan",Mustang Open,"Apr 9, 2022"
