Unnamed: 0,Time,Athletes,Meet,Meet Date
,3:31.76 #,"Henderson, Guieb, O'Reilly, Anderson",Midwest Conference Indoor Championships,"Feb 23, 2018"
,3:32.59 #,"Anderson, Shults, O'Reilly, Baumann",2018 Darren Young Indoor Classic,"Feb 10, 2018"
,3:39.66 #,"Henderson, Anderson, Gregor, O'Reilly",Wartburg Indoor Invitational,"Feb 17, 2018"
