Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"August 31, 2018 (Friday)",5:00 pm,Home,Webster University,"Monmouth, Ill./Peacock Memorial Athletic Park",,,"L,0-1",Box ScoreRecap
"September 1, 2018 (Saturday)",7:00 pm,Away,Illinois Wesleyan University,"Bloomington, IL",,,"W,2-1",Box ScoreRecap
"September 5, 2018 (Wednesday)",5:00 pm,Home,Millikin University,"Monmouth, Ill./Peacock Memorial Athletic Park",,,Canceled,
"September 8, 2018 (Saturday)",1:00 pm,Home,Eureka College,"Monmouth, Ill./Peacock Memorial Athletic Park",,,"W,4-1",Box Score
"September 11, 2018 (Tuesday)",5:00 pm,Home,Central College,"Monmouth, Ill./Peacock Memorial Athletic Park",,,"L,0-2",Box ScoreRecap
"September 18, 2018 (Tuesday)",7:00 pm,Away,University of Dubuque,"Dubuque, IA",,,"L,0-2",Box ScoreRecap
"September 22, 2018 (Saturday)",11:00 am,Away,Cornell College,"Mount Vernon, IA",,,"T,0-0(2 OT)",Box ScoreRecap
"September 24, 2018 (Monday)",4:00 pm,Home,Iowa Wesleyan University,"Monmouth, Ill./Peacock Memorial Athletic Park",,,"W,3-2(OT)",Box ScoreRecap
"September 29, 2018 (Saturday)",11:00 am,Home,St. Norbert College,"Monmouth, Ill./Peacock Memorial Athletic Park",,,"L,0-4",Box ScoreRecap
"September 30, 2018 (Sunday)",11:00 am,Home,Beloit College,"Monmouth, Ill./Peacock Memorial Athletic Park",,,"W,1-0(OT)",Box ScoreRecap
"October 6, 2018 (Saturday)",11:00 am,Home,Illinois College,"Monmouth, Ill./Peacock Memorial Athletic Park",,,"W,3-0",Box ScoreRecap
"October 8, 2018 (Monday)",3:00 pm,Away,Knox College,"Galesburg, IL",,,"L,1-5",Box ScoreRecap
"October 13, 2018 (Saturday)",10:00 am,Away,Lake Forest College,"Lake Forest, IL",,,"L,0-2",Box ScoreRecap
"October 14, 2018 (Sunday)",11:00 am,Away,Lawrence University,"Appleton, WI",,,"W,5-2",Box ScoreRecap
"October 20, 2018 (Saturday)",12:00 pm,Away,Grinnell College,"Grinnell, IA",,,"L,0-1",Box ScoreRecap
"October 27, 2018 (Saturday)",11:00 am,Home,Ripon College,"Monmouth, Ill./Peacock Memorial Athletic Park",,,"W,4-1",Box ScoreRecap
