Name,GP,MIN,MIN/G
"#10 Maher, Patrick",25,513,20.5
"#24 Taylor, Jack",24,500,20.8
"#02 Yeager, Luke",25,479,19.2
"#44 Zachary, Tague",25,447,17.9
"#12 Marx, Julian",25,434,17.4
"#35 Olson, Cody",25,396,15.8
"#23 Levin, Aaron",17,327,19.2
"#33 Curta, Nick",25,324,13.0
"#03 Parker, Kyle",23,312,13.6
"#15 Bartuch, Dylan",25,268,10.7
"#13 Porter, Mike",25,257,10.3
"#54 Hoegh, Stuart",23,252,11.0
"#04 LaMacchia, Anthony",17,105,6.2
"#42 Davis, Ryan",22,95,4.3
"#22 Johnson, Evan",6,84,14.0
"#45 Page, James",22,73,3.3
"#21 LeMoine, Brent",19,69,3.6
"#05 Gardner, Hayes",16,44,2.8
"#11 Walton, Aamir",14,41,2.9
"#25 Knoebber, Nicolas",4,5,1.3
