Name,GP,REB,AVG/G,OFF,OFF/G,DEF,DEF/G
"#10 Maher, Patrick",25,110,4.4,48,1.9,62,2.5
"#23 Levin, Aaron",17,109,6.4,43,2.5,66,3.9
"#44 Zachary, Tague",25,104,4.2,43,1.7,61,2.4
#TM Team,25,101,4.0,56,2.2,45,1.8
"#33 Curta, Nick",25,93,3.7,36,1.4,57,2.3
"#35 Olson, Cody",25,65,2.6,32,1.3,33,1.3
"#03 Parker, Kyle",23,53,2.3,29,1.3,24,1.0
"#02 Yeager, Luke",25,46,1.8,23,0.9,23,0.9
"#13 Porter, Mike",25,38,1.5,25,1.0,13,0.5
"#24 Taylor, Jack",24,37,1.5,21,0.9,16,0.7
"#12 Marx, Julian",25,35,1.4,15,0.6,20,0.8
"#54 Hoegh, Stuart",23,34,1.5,15,0.7,19,0.8
"#15 Bartuch, Dylan",25,32,1.3,19,0.8,13,0.5
"#42 Davis, Ryan",22,23,1.0,11,0.5,12,0.5
"#22 Johnson, Evan",6,19,3.2,9,1.5,10,1.7
"#21 LeMoine, Brent",19,17,0.9,8,0.4,9,0.5
"#45 Page, James",22,9,0.4,5,0.2,4,0.2
"#04 LaMacchia, Anthony",17,8,0.5,4,0.2,4,0.2
"#05 Gardner, Hayes",16,5,0.3,2,0.1,3,0.2
"#11 Walton, Aamir",14,5,0.4,2,0.1,3,0.2
"#25 Knoebber, Nicolas",4,1,0.3,0,0.0,1,0.3
