Name,GP,STL,STL/G
"#10 Maher, Patrick",25,48,1.9
"#02 Yeager, Luke",25,37,1.5
"#24 Taylor, Jack",24,30,1.3
"#03 Parker, Kyle",23,24,1.0
"#35 Olson, Cody",25,23,0.9
"#44 Zachary, Tague",25,23,0.9
"#54 Hoegh, Stuart",23,21,0.9
"#12 Marx, Julian",25,18,0.7
"#13 Porter, Mike",25,16,0.6
"#15 Bartuch, Dylan",25,14,0.6
"#33 Curta, Nick",25,12,0.5
"#22 Johnson, Evan",6,12,2.0
"#23 Levin, Aaron",17,12,0.7
"#45 Page, James",22,4,0.2
"#42 Davis, Ryan",22,3,0.1
"#04 LaMacchia, Anthony",17,3,0.2
"#21 LeMoine, Brent",19,3,0.2
"#11 Walton, Aamir",14,3,0.2
