Name,GP,AST,AST/G
"#10 Maher, Patrick",25,200,8.0
"#24 Taylor, Jack",24,73,3.0
"#02 Yeager, Luke",25,52,2.1
"#35 Olson, Cody",25,46,1.8
"#03 Parker, Kyle",23,42,1.8
"#12 Marx, Julian",25,36,1.4
"#13 Porter, Mike",25,23,0.9
"#15 Bartuch, Dylan",25,15,0.6
"#23 Levin, Aaron",17,12,0.7
"#44 Zachary, Tague",25,10,0.4
"#22 Johnson, Evan",6,9,1.5
"#04 LaMacchia, Anthony",17,8,0.5
"#54 Hoegh, Stuart",23,3,0.1
"#33 Curta, Nick",25,2,0.1
"#45 Page, James",22,2,0.1
"#05 Gardner, Hayes",16,1,0.1
"#21 LeMoine, Brent",19,1,0.1
"#11 Walton, Aamir",14,1,0.1
