Name,GP,BLK,BLK/G
"#44 Zachary, Tague",25,35,1.4
"#33 Curta, Nick",25,9,0.4
"#23 Levin, Aaron",17,9,0.5
"#10 Maher, Patrick",25,7,0.3
"#35 Olson, Cody",25,4,0.2
"#02 Yeager, Luke",25,4,0.2
"#03 Parker, Kyle",23,2,0.1
"#42 Davis, Ryan",22,1,0.0
"#54 Hoegh, Stuart",23,1,0.0
"#22 Johnson, Evan",6,1,0.2
"#12 Marx, Julian",25,1,0.0
