Name,GP,3PM,3PA,3P%,3PM/G,3PA/G
"#24 Taylor, Jack",24,129,360,0.358,5.4,15.0
"#12 Marx, Julian",25,101,223,0.453,4.0,8.9
"#02 Yeager, Luke",25,68,189,0.36,2.7,7.6
"#23 Levin, Aaron",17,52,116,0.448,3.1,6.8
"#10 Maher, Patrick",25,42,105,0.4,1.7,4.2
"#44 Zachary, Tague",25,38,118,0.322,1.5,4.7
"#35 Olson, Cody",25,22,61,0.361,0.9,2.4
"#03 Parker, Kyle",23,22,72,0.306,1.0,3.1
"#04 LaMacchia, Anthony",17,16,39,0.41,0.9,2.3
"#13 Porter, Mike",25,15,44,0.341,0.6,1.8
"#15 Bartuch, Dylan",25,7,25,0.28,0.3,1.0
"#05 Gardner, Hayes",16,4,6,0.667,0.3,0.4
"#22 Johnson, Evan",6,4,13,0.308,0.7,2.2
"#33 Curta, Nick",25,2,25,0.08,0.1,1.0
"#54 Hoegh, Stuart",23,0,6,0.0,0.0,0.3
