Statistic,High,Player,Opponent
POINTS,109,Jack Taylor,Crossroads College (11/17/13)
FIELD GOALS MADE,35,Jack Taylor,Crossroads College (11/17/13)
FIELD GOAL ATTEMPTS,70,Jack Taylor,Crossroads College (11/17/13)
3 PT FIELD GOALS MADE,24,Jack Taylor,Crossroads College (11/17/13)
3 PT FG ATTEMPTS,48,Jack Taylor,Crossroads College (11/17/13)
FREE THROWS MADE,24,Jack Taylor,Simpson (12/14/13)
FREE THROW ATTEMPTS,27,Jack Taylor,Simpson (12/14/13)
REBOUNDS,13,Aaron Levin,Knox College (01/08/14)
ASSISTS,37,Patrick Maher,College of Faith (01/06/14)
STEALS,5,Stuart Hoegh; Patrick Maher,Carroll University (01/11/14); Beloit College (02/08/14)
BLOCKED SHOTS,4,Tague Zachary,Lake Forest College (02/01/14)
TURNOVERS,6,Kyle Parker; Patrick Maher; Jack Taylor; Luke Yeager,Finlandia University (11/15/13); College of Faith (01/06/14); Cornell College (01/14/14); St. Norbert College (02/15/14); St. Norbert College (03/01/14)
FOULS,5,Luke Yeager; Mike Porter; Kyle Parker; Aaron Levin; Julian Marx; Cody Olson; Nick Curta,St. Norbert College (12/07/13); College of Faith (01/06/14); Cornell College (02/19/14); Lawrence University (02/22/14); Ripon College (02/28/14); Beloit College (11/30/13); Simpson (12/14/13); Lawrence University (01/18/14); Monmouth College (01/28/14); St. Norbert College (02/15/14); St. Norbert College (03/01/14)
