Name,GP,TO,TO/G
"#24 Taylor, Jack",24,64,2.7
"#10 Maher, Patrick",25,54,2.2
"#02 Yeager, Luke",25,40,1.6
"#03 Parker, Kyle",23,31,1.3
"#35 Olson, Cody",25,19,0.8
"#12 Marx, Julian",25,17,0.7
"#23 Levin, Aaron",17,15,0.9
"#54 Hoegh, Stuart",23,13,0.6
"#44 Zachary, Tague",25,13,0.5
"#15 Bartuch, Dylan",25,12,0.5
"#33 Curta, Nick",25,11,0.4
"#13 Porter, Mike",25,10,0.4
"#22 Johnson, Evan",6,3,0.5
"#21 LeMoine, Brent",19,2,0.1
"#45 Page, James",22,2,0.1
#TM Team,25,2,0.1
"#42 Davis, Ryan",22,1,0.0
"#05 Gardner, Hayes",16,1,0.1
"#04 LaMacchia, Anthony",17,1,0.1
"#11 Walton, Aamir",14,1,0.1
