Name,GP,AST,TO,AST/TO Ratio
"#04 LaMacchia, Anthony",17,8,1,8.0
"#22 Johnson, Evan",6,9,3,3.0
"#10 Maher, Patrick",25,200,54,3.7
"#12 Marx, Julian",25,36,17,2.12
"#35 Olson, Cody",25,46,19,2.42
"#13 Porter, Mike",25,23,10,2.3
"#15 Bartuch, Dylan",25,15,12,1.25
"#05 Gardner, Hayes",16,1,1,1.0
"#45 Page, James",22,2,2,1.0
"#03 Parker, Kyle",23,42,31,1.35
"#24 Taylor, Jack",24,73,64,1.14
"#11 Walton, Aamir",14,1,1,1.0
"#02 Yeager, Luke",25,52,40,1.3
